city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
0.926,Female,1,0,Graduate,STEM,15,1,13,0
0.926,Female,1,0,Graduate,Other,4,1,57,0
0.895,Male,1,0,Graduate,STEM,10,4,20,0
0.527,Male,1,1,Graduate,STEM,2,1,88,0
0.91,Female,1,0,Graduate,Other,13,2,111,0
0.698,Female,0,1,Graduate,Other,3,1,14,0
0.91,Female,1,0,Masters,Humanities,2,1,20,0
0.92,Female,1,0,Graduate,STEM,10,5,100,0
0.624,Female,1,0,Graduate,STEM,3,1,114,1
0.804,Male,0,1,Graduate,STEM,3,0,73,1
0.92,Female,1,0,Graduate,STEM,8,2,102,0
0.92,Male,1,0,Graduate,STEM,15,3,88,0
0.624,Female,0,0,Graduate,STEM,6,1,154,1
0.91,Female,1,0,Graduate,STEM,3,2,8,0
0.91,Female,1,0,Masters,STEM,11,5,52,0
0.647,Female,0,1,Graduate,STEM,2,0,55,0
0.827,Male,0,0,Graduate,STEM,10,4,4,0
0.92,Female,1,0,Graduate,STEM,16,2,89,0
0.624,Female,1,0,Masters,STEM,7,4,40,0
0.926,Female,1,0,Masters,STEM,3,1,4,0
0.91,Female,1,0,Masters,Humanities,5,1,57,0
0.624,Female,1,1,Graduate,STEM,0,1,68,1
0.923,Male,0,0,Masters,STEM,20,5,66,0
0.55,Male,1,0,Graduate,STEM,2,1,3,1
0.92,Male,1,0,Graduate,STEM,3,2,5,0
0.84,Male,1,0,Graduate,STEM,4,1,11,1
0.91,Male,1,0,Graduate,STEM,9,5,97,0
0.89,Male,0,1,Graduate,STEM,7,1,106,1
0.92,Male,1,0,Graduate,STEM,12,1,106,0
0.624,Female,1,0,Graduate,STEM,6,1,45,0
0.926,Male,1,0,Masters,STEM,20,4,155,0
0.899,Female,0,1,Graduate,STEM,5,0,70,1
0.91,Male,1,0,Graduate,STEM,20,2,62,0
0.921,Female,1,1,Graduate,STEM,5,1,308,0
0.926,Male,1,0,Masters,STEM,10,1,42,0
0.92,Male,1,0,Graduate,STEM,20,5,35,1
0.92,Male,1,1,Graduate,Business Degree,10,1,260,0
0.884,Female,0,0,Phd,STEM,20,5,27,0
0.624,Female,1,0,Masters,STEM,15,1,82,1
0.804,Female,1,0,Masters,STEM,14,5,92,0
0.949,Male,1,0,Graduate,STEM,20,5,37,0
0.893,Male,1,0,Graduate,STEM,9,5,70,0
0.896,Male,1,0,Masters,STEM,20,5,53,0
0.92,Male,1,0,Graduate,STEM,20,1,44,0
0.92,Female,1,0,Graduate,STEM,6,1,36,0
0.92,Male,1,0,Graduate,STEM,3,1,162,0
0.91,Male,1,0,Graduate,Humanities,7,5,146,0
0.92,Female,1,0,Masters,STEM,17,3,304,0
0.939,Male,0,1,Graduate,STEM,13,1,145,0
0.924,Male,1,1,Graduate,STEM,20,5,15,0
0.92,Female,0,0,Graduate,Arts,1,1,48,1
0.624,Male,1,0,Graduate,STEM,6,5,92,0
0.92,Female,1,0,Masters,Arts,0,1,73,0
0.893,Female,1,0,Masters,STEM,14,1,34,0
0.624,Female,1,0,Masters,STEM,3,2,34,1
0.92,Male,1,0,Graduate,Business Degree,2,1,8,0
0.92,Female,1,0,Graduate,STEM,12,1,81,0
0.624,Female,1,0,Graduate,STEM,9,2,54,0
0.802,Female,1,0,Graduate,STEM,8,2,22,1
0.92,Female,0,0,Masters,Humanities,3,2,21,0
0.92,Male,1,0,Masters,STEM,14,1,54,0
0.91,Male,1,0,Graduate,STEM,20,5,64,0
0.92,Male,1,0,Graduate,STEM,5,2,94,1
0.939,Male,1,0,Graduate,Arts,20,5,172,0
0.926,Male,1,0,Graduate,STEM,9,5,7,1
0.767,Male,0,1,Masters,STEM,4,2,74,1
0.923,Female,1,1,Masters,STEM,9,4,101,1
0.926,Female,0,1,Graduate,STEM,15,3,34,0
0.624,Male,1,0,Graduate,STEM,8,1,44,0
0.92,Female,0,0,Graduate,Business Degree,18,5,38,0
0.92,Female,1,0,Phd,STEM,5,2,82,0
0.92,Female,1,0,Graduate,STEM,11,1,15,0
0.887,Male,1,0,Graduate,STEM,6,5,51,1
0.939,Female,1,0,Graduate,STEM,2,1,40,0
0.949,Male,1,0,Graduate,STEM,14,4,5,0
0.92,Female,1,0,Graduate,STEM,9,1,105,0
0.89,Female,0,1,Graduate,STEM,3,1,72,0
0.624,Male,1,0,Masters,STEM,8,3,31,1
0.555,Female,1,1,Masters,STEM,20,3,135,1
0.91,Female,1,0,Masters,STEM,5,1,26,0
0.754,Male,1,0,Masters,Humanities,20,2,26,0
0.92,Female,0,1,Masters,STEM,5,1,86,1
0.92,Male,1,1,Graduate,STEM,9,3,56,0
0.92,Male,1,0,Graduate,STEM,12,1,78,1
0.92,Female,0,0,Graduate,Arts,1,1,8,0
0.698,Male,1,0,Masters,STEM,15,2,96,1
0.92,Female,1,1,Graduate,STEM,14,5,39,0
0.897,Female,0,0,Masters,STEM,6,4,72,0
0.92,Female,0,1,Masters,STEM,11,1,58,0
0.92,Male,1,0,Graduate,STEM,2,1,16,0
0.754,Male,1,0,Graduate,STEM,20,5,28,0
0.939,Male,0,1,Graduate,STEM,3,0,40,0
0.92,Male,1,0,Graduate,STEM,20,1,46,0
0.855,Male,1,0,Masters,STEM,16,4,63,0
0.91,Male,1,0,Graduate,STEM,6,1,68,0
0.926,Female,0,1,Graduate,STEM,9,1,56,0
0.926,Male,1,0,Graduate,STEM,8,4,72,0
0.926,Female,0,1,Graduate,STEM,8,1,146,1
0.698,Female,1,0,Graduate,Business Degree,4,4,4,0
0.92,Male,1,0,Graduate,STEM,7,2,11,0
0.91,Male,1,0,Graduate,STEM,6,1,102,0
0.92,Female,0,0,Graduate,Humanities,3,3,40,0
0.682,Female,1,0,Graduate,STEM,7,4,160,0
0.923,Female,1,0,Masters,STEM,20,4,33,0
0.924,Male,1,0,Phd,STEM,12,1,51,0
0.666,Female,0,1,Graduate,STEM,5,1,18,0
0.92,Male,1,1,Graduate,STEM,8,2,8,0
0.893,Female,1,0,Graduate,STEM,7,2,11,0
0.925,Male,1,0,Graduate,STEM,3,1,35,0
0.91,Female,0,1,Graduate,STEM,4,1,34,0
0.624,Female,1,0,Masters,STEM,5,2,65,1
0.926,Female,1,0,Masters,STEM,11,2,8,0
0.738,Male,1,1,Graduate,STEM,12,1,41,0
0.925,Female,0,1,Graduate,STEM,4,0,19,1
0.624,Female,1,0,Graduate,STEM,3,0,48,1
0.897,Male,1,0,Phd,STEM,10,5,226,0
0.743,Female,1,0,Graduate,STEM,16,2,31,0
0.624,Male,1,0,Masters,STEM,20,5,54,0
0.92,Male,0,1,Graduate,STEM,4,1,222,0
0.91,Male,1,0,Graduate,STEM,20,5,37,0
0.92,Male,1,0,Masters,STEM,8,1,30,0
0.804,Female,1,0,Masters,STEM,10,2,24,0
0.92,Male,1,0,Graduate,STEM,20,1,102,0
0.878,Male,1,0,Masters,Humanities,6,3,34,0
0.754,Male,0,1,Graduate,STEM,6,3,8,0
0.92,Female,1,0,Graduate,STEM,13,1,109,1
0.624,Female,1,0,Graduate,STEM,8,2,220,1
0.926,Male,1,0,Masters,STEM,20,5,18,0
0.884,Female,1,0,Graduate,STEM,5,1,94,0
0.836,Male,1,0,Masters,Humanities,2,1,36,0
0.92,Female,1,0,Masters,Humanities,11,1,26,0
0.804,Male,1,0,Graduate,STEM,14,1,21,0
0.92,Female,1,0,Graduate,STEM,2,1,79,0
0.893,Male,1,0,Graduate,STEM,5,1,27,0
0.899,Female,1,0,Graduate,STEM,9,1,41,0
0.91,Male,1,0,Masters,STEM,20,0,29,0
0.91,Male,1,0,Graduate,STEM,15,1,4,0
0.92,Male,0,0,Graduate,STEM,20,5,69,0
0.926,Female,1,0,Graduate,STEM,20,1,8,0
0.92,Female,1,0,Phd,STEM,13,1,11,0
0.698,Female,1,0,Graduate,STEM,6,1,22,0
0.92,Male,1,0,Masters,STEM,14,4,31,0
0.624,Male,1,0,Graduate,STEM,15,2,166,0
0.804,Female,1,0,Masters,STEM,9,1,210,0
0.762,Male,1,0,Graduate,STEM,12,1,22,0
0.92,Male,0,0,Graduate,STEM,3,3,148,0
0.666,Female,1,0,Masters,STEM,13,5,28,1
0.92,Female,1,0,Graduate,Arts,20,2,100,0
0.92,Female,1,0,Graduate,STEM,12,1,46,0
0.92,Female,1,0,Graduate,STEM,20,1,7,0
0.926,Male,1,1,Graduate,STEM,5,1,53,0
0.92,Female,1,0,Graduate,STEM,8,1,46,1
0.91,Male,1,0,Graduate,STEM,9,1,91,0
0.92,Female,0,1,Graduate,STEM,4,4,53,0
0.92,Male,1,0,Graduate,STEM,17,5,106,0
0.91,Male,0,0,Masters,Humanities,16,4,18,0
0.92,Male,1,0,Graduate,STEM,9,2,31,0
0.624,Male,0,1,Graduate,STEM,0,0,9,1
0.624,Male,1,0,Graduate,STEM,14,0,83,0
0.91,Female,1,0,Graduate,STEM,17,1,256,0
0.896,Male,1,0,Graduate,STEM,14,1,3,0
0.92,Male,0,0,Masters,Arts,16,5,63,0
0.92,Female,0,0,Phd,STEM,14,1,55,0
0.558,Male,0,1,Graduate,STEM,3,1,67,1
0.804,Male,1,0,Graduate,STEM,17,1,52,0
0.926,Male,1,0,Masters,STEM,18,4,36,0
0.91,Male,1,0,Graduate,Humanities,20,2,74,0
0.91,Male,1,0,Graduate,STEM,20,1,40,1
0.92,Female,1,0,Graduate,STEM,8,1,3,0
0.92,Male,1,0,Graduate,STEM,6,2,34,0
0.92,Male,1,0,Graduate,STEM,12,4,114,1
0.727,Female,0,1,Masters,Business Degree,2,1,87,0
0.92,Female,1,0,Graduate,STEM,20,1,44,0
0.579,Female,1,0,Graduate,STEM,2,1,80,0
0.92,Female,1,0,Masters,STEM,15,5,106,0
0.698,Male,1,0,Phd,STEM,20,5,7,0
0.92,Female,1,0,Graduate,Arts,4,3,87,0
0.776,Female,1,0,Graduate,STEM,17,5,13,1
0.836,Female,1,0,Graduate,STEM,16,5,130,0
0.92,Female,0,1,Graduate,STEM,4,1,69,0
0.91,Male,1,0,Graduate,STEM,14,1,256,0
0.897,Male,1,0,Masters,STEM,11,1,56,0
0.92,Male,1,0,Graduate,STEM,10,5,6,0
0.754,Female,0,0,Masters,STEM,16,5,56,0
0.624,Female,1,0,Graduate,STEM,3,1,52,0
0.91,Male,1,0,Graduate,STEM,20,4,22,0
0.804,Male,1,1,Graduate,STEM,7,1,92,0
0.92,Male,1,1,Graduate,STEM,6,1,43,1
0.624,Female,0,0,Masters,STEM,0,1,6,1
0.743,Male,1,0,Graduate,Humanities,7,4,166,0
0.92,Female,1,0,Graduate,Humanities,5,1,15,0
0.915,Female,0,0,Phd,Humanities,10,2,41,0
0.92,Female,1,0,Graduate,STEM,6,1,21,0
0.92,Female,0,0,Graduate,STEM,6,1,61,0
0.91,Male,1,0,Graduate,STEM,3,1,43,0
0.897,Female,0,0,Phd,STEM,11,1,150,0
0.92,Male,1,0,Graduate,STEM,18,2,36,0
0.92,Female,1,0,Graduate,STEM,16,1,29,0
0.624,Female,0,1,Graduate,STEM,7,0,33,1
0.804,Female,1,0,Masters,STEM,11,1,81,0
0.763,Male,1,0,Graduate,STEM,10,1,46,0
0.92,Female,1,0,Graduate,STEM,16,5,27,0
0.92,Female,1,0,Graduate,STEM,5,2,103,0
0.92,Female,0,1,Graduate,STEM,6,1,46,1
0.92,Male,1,0,Graduate,STEM,4,1,47,0
0.925,Male,1,0,Masters,Humanities,14,4,112,0
0.92,Male,1,0,Graduate,STEM,20,1,140,1
0.91,Male,1,0,Masters,STEM,7,2,62,0
0.92,Male,1,0,Graduate,STEM,20,1,60,0
0.55,Male,1,0,Graduate,STEM,16,3,18,1
0.666,Female,1,0,Graduate,STEM,6,0,18,0
0.92,Male,1,0,Graduate,STEM,20,5,6,1
0.939,Female,1,0,Masters,STEM,11,5,250,0
0.91,Male,1,0,Graduate,Arts,7,4,26,0
0.92,Female,1,0,Graduate,STEM,20,2,180,0
0.92,Female,0,0,Graduate,STEM,20,1,54,1
0.893,Male,1,0,Masters,STEM,20,2,15,0
0.92,Female,1,0,Graduate,STEM,4,2,6,0
0.915,Female,1,0,Graduate,STEM,20,5,37,0
0.698,Female,0,0,Masters,STEM,7,1,12,0
0.92,Male,1,0,Graduate,STEM,2,1,72,0
0.92,Female,1,0,Graduate,STEM,6,1,44,0
0.624,Male,1,0,Masters,STEM,7,0,73,1
0.698,Male,1,0,Graduate,STEM,11,1,47,0
0.939,Female,1,0,Masters,Other,10,1,40,0
0.804,Female,0,0,Masters,STEM,5,1,82,0
0.624,Female,1,1,Masters,STEM,2,0,15,0
0.624,Female,1,1,Graduate,STEM,18,0,38,0
0.92,Female,1,0,Masters,STEM,20,2,26,1
0.91,Female,0,0,Graduate,STEM,9,1,206,0
0.92,Male,1,0,Graduate,Humanities,4,1,60,0
0.624,Female,0,0,Graduate,STEM,3,1,43,1
0.767,Female,1,0,Masters,STEM,17,3,10,1
0.824,Female,1,0,Graduate,STEM,5,1,16,0
0.92,Male,1,0,Graduate,STEM,5,1,50,0
0.92,Male,1,0,Graduate,STEM,2,2,29,0
0.92,Male,1,0,Graduate,STEM,18,5,8,0
0.92,Male,1,1,Graduate,STEM,8,1,37,1
0.624,Female,1,0,Graduate,STEM,6,2,71,1
0.92,Male,1,0,Graduate,STEM,7,2,8,0
0.698,Male,1,0,Graduate,STEM,6,1,24,1
0.92,Male,1,0,Graduate,STEM,8,2,20,1
0.92,Female,0,0,Graduate,STEM,10,2,87,1
0.804,Male,1,0,Graduate,STEM,11,2,23,0
0.92,Female,1,0,Graduate,STEM,3,2,19,0
0.91,Female,1,0,Phd,STEM,20,1,106,1
0.698,Male,1,0,Masters,STEM,11,1,83,0
0.923,Female,1,0,Masters,Humanities,4,2,48,0
0.796,Female,1,0,Graduate,STEM,20,2,79,0
0.855,Female,1,0,Masters,STEM,6,1,156,0
0.624,Male,0,0,Graduate,Humanities,5,1,19,1
0.74,Female,1,0,Masters,STEM,10,4,126,0
0.754,Female,0,0,Masters,Business Degree,20,3,13,1
0.91,Male,1,1,Graduate,STEM,2,1,170,0
0.804,Female,1,0,Masters,STEM,20,3,92,0
0.763,Female,1,0,Masters,STEM,9,1,58,0
0.698,Female,1,0,Graduate,Other,7,0,17,1
0.91,Male,1,0,Graduate,STEM,9,4,60,0
0.92,Female,1,1,Graduate,STEM,7,4,157,1
0.55,Male,1,1,Graduate,STEM,3,1,13,0
0.866,Male,1,0,Graduate,STEM,20,1,55,0
0.884,Male,1,0,Graduate,STEM,20,5,29,0
0.899,Male,1,0,Masters,Humanities,4,2,53,0
0.624,Female,0,1,Masters,STEM,6,1,29,0
0.92,Female,1,0,Graduate,Humanities,2,1,72,0
0.897,Female,1,0,Graduate,STEM,8,1,8,0
0.92,Female,1,0,Graduate,STEM,5,2,25,1
0.624,Female,1,0,Graduate,STEM,5,3,131,1
0.91,Male,1,0,Graduate,STEM,20,5,46,0
0.899,Female,1,0,Masters,STEM,20,5,10,0
0.802,Male,1,0,Graduate,STEM,9,0,108,0
0.92,Female,0,0,Phd,Humanities,20,4,214,1
0.92,Female,0,0,Graduate,Humanities,20,5,56,1
0.865,Female,1,0,Graduate,STEM,2,1,39,0
0.887,Male,1,0,Graduate,Arts,20,1,26,0
0.624,Female,1,1,Masters,STEM,7,1,50,1
0.766,Female,1,0,Masters,STEM,14,1,112,0
0.92,Female,0,1,Graduate,STEM,5,1,30,0
0.92,Male,1,1,Graduate,STEM,10,2,90,1
0.55,Female,1,0,Graduate,STEM,9,1,23,0
0.855,Female,1,0,Graduate,STEM,4,1,5,0
0.754,Male,1,0,Graduate,STEM,20,5,82,0
0.939,Male,1,1,Graduate,STEM,13,1,22,0
0.92,Female,1,0,Graduate,Other,16,2,52,0
0.682,Male,1,0,Graduate,STEM,10,1,24,0
0.698,Male,1,0,Graduate,STEM,13,4,9,0
0.91,Female,1,0,Phd,STEM,20,5,144,0
0.92,Female,0,1,Graduate,STEM,5,1,119,0
0.899,Male,1,0,Graduate,STEM,20,1,135,0
0.743,Female,1,0,Masters,Other,9,4,9,0
0.92,Female,0,0,Graduate,STEM,1,1,6,1
0.92,Female,1,0,Graduate,STEM,20,1,98,0
0.913,Female,1,0,Masters,STEM,5,1,78,0
0.949,Male,0,0,Masters,Arts,20,5,136,0
0.624,Female,1,0,Masters,STEM,8,2,51,0
0.624,Female,1,0,Graduate,STEM,6,1,9,1
0.743,Male,0,0,Graduate,STEM,15,0,74,0
0.884,Male,1,0,Graduate,STEM,9,1,69,0
0.624,Female,1,0,Graduate,STEM,7,1,118,0
0.92,Female,1,0,Graduate,Arts,3,1,152,0
0.92,Female,1,0,Graduate,STEM,10,4,101,1
0.855,Male,1,0,Masters,STEM,3,1,14,0
0.624,Female,0,0,Graduate,STEM,3,3,69,1
0.92,Male,1,0,Graduate,STEM,6,5,70,0
0.939,Male,1,0,Graduate,STEM,7,2,26,0
0.92,Male,1,0,Masters,STEM,5,1,76,1
0.827,Female,1,0,Masters,STEM,10,4,26,0
0.92,Female,1,0,Graduate,STEM,6,1,44,0
0.92,Male,1,0,Graduate,STEM,5,1,51,0
0.92,Male,1,0,Graduate,STEM,10,2,262,0
0.92,Female,0,0,Graduate,STEM,14,0,147,0
0.926,Male,1,0,Graduate,STEM,15,5,75,0
0.92,Female,0,1,Graduate,STEM,4,1,52,1
0.895,Male,1,0,Graduate,Business Degree,18,1,20,0
0.743,Male,1,1,Masters,STEM,20,1,70,0
0.887,Female,0,1,Masters,STEM,2,1,52,1
0.939,Male,1,0,Graduate,STEM,20,1,22,0
0.92,Female,1,0,Graduate,Humanities,20,3,11,0
0.92,Female,1,0,Masters,Other,5,1,54,0
0.92,Female,1,0,Masters,Business Degree,4,1,206,0
0.92,Female,1,0,Masters,Humanities,5,1,21,0
0.92,Male,1,0,Masters,Arts,20,1,13,1
0.843,Female,1,0,Graduate,STEM,10,1,28,0
0.789,Male,0,1,Graduate,STEM,5,1,156,1
0.92,Male,0,1,Graduate,STEM,7,0,45,1
0.924,Female,1,0,Masters,Humanities,2,1,28,0
0.624,Female,1,0,Graduate,STEM,0,1,73,1
0.527,Female,1,0,Graduate,STEM,2,2,81,1
0.789,Female,0,1,Graduate,STEM,3,0,144,1
0.866,Male,1,0,Masters,STEM,15,1,26,0
0.92,Female,1,0,Graduate,Humanities,4,3,127,1
0.939,Female,1,0,Graduate,STEM,6,1,7,0
0.92,Female,1,0,Masters,STEM,15,1,75,0
0.624,Male,1,0,Graduate,STEM,4,1,8,1
0.91,Male,1,0,Graduate,STEM,20,3,82,0
0.92,Male,1,1,Graduate,STEM,7,2,30,0
0.92,Female,1,0,Graduate,Humanities,20,1,220,0
0.691,Female,1,0,Graduate,STEM,9,2,31,0
0.624,Female,1,0,Masters,STEM,8,1,92,0
0.92,Female,0,0,Masters,STEM,7,1,44,0
0.527,Female,0,0,Graduate,STEM,1,1,50,0
0.698,Female,1,1,Graduate,STEM,5,0,17,0
0.92,Female,1,0,Masters,Humanities,20,2,74,0
0.92,Male,1,0,Graduate,STEM,6,4,28,0
0.624,Female,0,0,Graduate,STEM,5,1,68,1
0.666,Female,1,0,Graduate,STEM,18,5,4,0
0.92,Female,1,0,Masters,STEM,15,3,39,0
0.92,Male,1,0,Graduate,STEM,10,1,51,1
0.624,Female,0,0,Graduate,Other,1,1,78,1
0.92,Female,1,0,Graduate,STEM,12,5,40,0
0.479,Female,0,1,Masters,STEM,9,1,99,1
0.92,Female,1,0,Graduate,Humanities,4,2,6,1
0.91,Male,1,0,Graduate,STEM,5,2,29,1
0.91,Male,1,0,Masters,STEM,20,1,14,1
0.92,Male,1,0,Graduate,STEM,5,5,11,0
0.624,Male,1,1,Graduate,STEM,5,2,144,1
0.92,Male,1,1,Graduate,STEM,19,5,142,0
0.897,Female,1,0,Masters,STEM,17,1,19,0
0.92,Female,1,0,Graduate,Business Degree,4,1,34,0
0.624,Female,1,0,Graduate,STEM,2,1,72,1
0.74,Male,1,0,Graduate,STEM,7,3,28,0
0.895,Female,0,1,Graduate,STEM,7,1,21,1
0.91,Female,1,0,Graduate,STEM,20,5,18,0
0.92,Female,1,0,Graduate,STEM,6,1,200,0
0.92,Female,0,0,Graduate,Humanities,2,1,75,1
0.624,Male,1,0,Graduate,STEM,6,0,36,1
0.92,Female,1,0,Graduate,Business Degree,4,1,12,0
0.762,Male,1,1,Graduate,STEM,3,2,47,1
0.89,Male,0,1,Graduate,STEM,5,1,35,1
0.802,Female,1,1,Graduate,STEM,4,1,8,0
0.924,Male,0,0,Masters,STEM,13,2,30,0
0.939,Male,1,0,Graduate,STEM,20,5,20,1
0.92,Male,0,0,Graduate,Humanities,2,1,101,1
0.926,Female,0,1,Graduate,STEM,10,4,28,0
0.926,Female,1,0,Graduate,STEM,15,0,9,0
0.92,Female,1,0,Graduate,Humanities,6,1,280,0
0.92,Female,1,0,Graduate,STEM,3,1,58,0
0.92,Female,0,0,Graduate,Arts,1,1,29,0
0.897,Male,1,0,Masters,STEM,13,5,31,0
0.92,Female,0,0,Masters,STEM,7,2,22,0
0.92,Female,1,0,Graduate,STEM,20,1,7,0
0.92,Female,1,0,Masters,STEM,18,4,53,0
0.624,Female,1,0,Graduate,STEM,8,0,163,0
0.92,Female,1,0,Masters,STEM,7,2,37,0
0.92,Male,0,0,Masters,STEM,14,1,5,1
0.926,Female,1,0,Masters,STEM,17,5,100,0
0.92,Female,0,0,Graduate,STEM,9,4,34,0
0.92,Female,0,0,Masters,STEM,9,1,106,1
0.899,Male,1,0,Graduate,STEM,7,3,10,0
0.939,Female,1,0,Graduate,STEM,9,2,40,0
0.92,Male,1,0,Graduate,Humanities,20,5,192,0
0.91,Female,1,0,Graduate,STEM,14,1,246,0
0.624,Male,0,1,Masters,STEM,2,0,40,0
0.91,Male,1,0,Graduate,STEM,2,1,58,0
0.698,Female,0,0,Graduate,Humanities,0,1,52,1
0.624,Male,1,0,Graduate,STEM,17,0,4,1
