ID,Age,Age_gr,Gender,Work_Experience,Family_Size,Ever_Married,Graduated,Profession,Spending_Score,Var_1,Segmentation
461671,32,40,1,7,5,1,1,6,2,6,D
459384,52,60,1,0,3,2,2,1,0,6,C
459905,36,40,0,5,2,2,2,1,2,6,C
464734,42,50,0,7,3,1,1,4,2,4,D
464125,40,40,1,0,2,2,1,2,0,3,D
467434,39,40,1,0,3,1,2,4,2,1,B
460956,47,50,0,1,4,2,2,1,0,3,C
465179,61,70,0,1,2,2,2,1,1,6,C
463338,32,40,1,1,2,2,1,4,2,3,D
467066,55,60,1,0,1,2,1,1,2,6,B
463845,58,60,1,null,1,2,2,1,0,6,D
459976,38,40,0,0,1,1,2,1,2,6,D
461334,63,70,1,0,2,2,2,1,1,6,C
465108,58,60,1,1,2,2,2,2,0,6,C
462600,30,30,1,3,3,2,1,3,0,4,D
464144,60,60,1,0,4,2,2,1,0,6,C
466911,68,70,1,1,7,2,1,5,1,6,B
462806,52,60,1,0,3,2,1,1,2,4,A
463426,38,40,1,0,5,2,1,5,1,6,A
464065,35,40,0,10,2,2,2,6,2,6,B
462979,18,20,1,1,2,1,1,2,2,6,D
462834,30,30,1,3,2,2,2,7,2,1,D
460764,86,70,1,1,1,1,1,8,2,6,D
466466,19,20,0,6,5,0,1,6,2,3,D
460185,25,30,1,9,3,1,1,6,2,6,D
459749,59,60,1,null,4,2,2,4,2,4,A
464406,39,40,0,0,1,1,2,1,2,6,A
467758,50,50,0,1,null,2,2,2,2,6,B
462059,47,50,1,1,1,1,2,1,2,6,C
467905,43,50,1,0,3,2,2,5,1,6,D
461177,36,40,1,8,4,2,1,5,0,1,B
460765,80,70,1,1,1,2,1,8,2,6,D
465386,36,40,1,0,2,1,2,1,2,2,C
465827,27,30,1,2,7,1,1,0,2,4,D
462332,37,40,0,1,2,2,2,1,1,7,A
464481,46,50,1,0,3,2,2,5,1,6,C
461011,55,60,1,1,4,2,1,5,1,3,B
464749,47,50,0,9,4,2,1,3,0,4,B
461094,28,30,0,1,3,1,2,6,2,3,D
462104,39,40,1,9,2,2,1,4,2,3,D
464524,27,30,0,1,2,2,1,9,2,6,A
466295,42,50,0,0,null,2,1,3,2,6,A
461787,72,70,1,0,2,2,2,1,0,6,C
467857,28,30,0,0,2,2,2,3,2,6,A
460153,35,40,1,8,5,1,2,4,2,6,C
465215,39,40,1,9,5,2,2,5,1,2,A
466746,69,70,0,0,2,2,2,8,1,6,C
464857,18,20,1,6,4,1,1,6,2,4,D
459478,46,50,1,null,1,2,2,1,2,6,A
460723,50,50,0,1,2,2,2,3,1,4,B
459853,30,30,1,5,5,1,1,5,2,6,A
459390,41,50,0,null,2,1,1,1,2,6,B
460410,39,40,0,3,4,1,2,1,2,6,D
463823,29,30,0,8,4,1,1,9,2,6,D
462008,37,40,0,4,4,2,2,1,2,5,B
459750,39,40,0,0,2,2,2,3,0,6,A
459880,48,50,0,0,5,2,2,1,0,7,C
459261,32,40,0,0,3,1,2,2,2,6,C
465656,78,70,1,1,null,2,1,8,2,6,B
465395,43,50,0,0,5,2,1,3,0,4,B
461631,29,30,1,8,5,1,1,9,2,6,C
464904,28,30,0,9,2,2,1,3,0,4,A
461740,80,70,1,1,1,2,2,8,2,6,B
467092,28,30,0,7,4,1,2,6,2,6,D
464173,71,70,1,6,3,2,2,1,0,6,C
464972,67,70,1,0,9,2,1,8,1,4,A
467959,26,30,0,0,1,1,1,3,2,2,A
467688,47,50,0,0,2,2,2,3,0,6,C
460043,43,50,0,2,2,2,2,1,0,6,B
466590,27,30,0,0,4,1,2,6,2,6,C
461191,45,50,0,8,4,2,2,9,2,6,D
465662,76,70,1,1,1,2,1,5,2,6,C
459231,43,50,0,3,4,2,2,1,0,6,C
466495,78,70,0,1,2,2,2,8,1,6,B
459192,35,40,1,3,3,2,2,1,0,6,C
465710,49,50,0,1,1,1,2,1,2,6,C
460258,25,30,0,1,5,1,2,6,2,6,D
462813,37,40,1,0,5,2,1,5,0,6,A
463595,32,40,0,1,5,1,1,6,2,0,C
467768,60,60,1,0,2,2,2,2,0,6,C
465291,45,50,0,5,3,2,2,1,0,6,C
462996,49,50,0,9,3,2,2,7,0,6,C
463497,32,40,1,0,5,1,2,1,2,6,D
465301,40,40,0,0,3,2,2,1,2,3,B
464702,59,60,1,2,2,2,1,1,0,4,C
459012,48,50,1,3,5,2,2,1,2,6,B
465053,82,70,1,0,2,2,2,5,1,6,C
459420,70,70,0,0,2,2,2,8,2,6,B
464166,31,40,1,5,2,1,2,1,2,6,B
458987,72,70,0,0,2,2,2,8,1,6,C
467745,50,50,1,3,4,2,2,1,0,6,C
464866,23,30,0,11,1,1,1,3,2,3,D
461081,20,20,0,2,6,1,1,6,2,6,D
467896,22,30,0,4,3,1,1,6,2,6,D
463991,31,40,0,8,1,1,2,3,2,6,A
466620,36,40,0,7,2,2,2,1,0,6,C
462594,52,60,1,null,5,2,1,4,0,4,B
462206,29,30,0,null,1,1,2,1,2,4,B
460697,40,40,1,4,4,2,2,1,0,6,C
467934,40,40,0,1,1,1,2,1,2,6,A
460054,38,40,1,null,2,2,2,1,2,6,C
459576,85,70,0,null,null,2,1,8,2,0,A
467910,21,30,0,1,3,1,1,2,2,7,A
467335,41,50,0,4,2,2,1,3,0,6,D
460263,40,40,1,0,2,2,2,1,2,6,B
459340,53,60,1,1,3,2,2,1,0,6,B
465622,42,50,0,5,2,2,2,1,2,6,C
459395,42,50,1,8,2,2,1,5,2,6,D
467539,48,50,1,null,4,2,2,1,0,7,C
466574,59,60,1,7,2,2,2,1,2,6,C
466544,41,50,1,1,3,2,2,5,0,6,A
463610,31,40,0,0,2,2,2,1,0,6,A
465539,49,50,0,1,5,2,2,1,1,6,B
459823,67,70,1,1,2,2,2,5,2,6,A
467614,35,40,1,4,2,2,1,1,0,6,B
459073,26,30,0,0,3,1,2,6,2,6,C
466065,19,20,1,9,3,0,1,6,2,3,D
464863,25,30,0,6,8,2,1,3,0,4,D
460022,39,40,0,4,2,2,2,6,2,6,A
459929,63,70,1,0,2,2,2,4,2,6,A
466613,23,30,1,8,3,1,1,6,2,6,D
461149,23,30,0,0,3,1,1,6,2,3,D
466068,53,60,0,2,1,2,2,1,2,6,C
461513,33,40,1,0,2,1,2,2,2,6,B
464761,50,50,0,null,4,2,1,3,0,2,B
466236,69,70,0,0,2,2,2,3,2,4,B
459664,37,40,1,2,1,1,2,1,2,6,B
461967,20,20,0,3,4,1,1,9,2,7,C
460516,85,70,0,0,1,0,1,8,1,3,C
461710,49,50,0,1,4,2,2,2,0,6,C
462742,18,20,1,0,3,1,1,6,2,3,D
459528,52,60,0,0,2,2,2,2,0,6,C
462691,25,30,1,null,2,2,1,2,0,4,B
462934,56,60,1,null,2,2,1,5,1,6,A
465837,62,70,1,0,1,1,2,0,2,6,A
464613,35,40,0,0,3,1,0,1,2,6,B
467515,28,30,1,0,2,2,2,3,0,6,A
463429,28,30,0,7,3,1,2,1,2,6,A
464024,20,20,1,0,5,1,1,6,2,7,D
460691,27,30,0,8,1,1,1,7,2,3,D
461825,56,60,0,null,1,1,1,3,2,6,A
467271,45,50,1,4,4,2,2,1,0,6,B
465634,25,30,1,1,4,1,2,6,2,4,B
464801,40,40,1,1,1,1,1,9,2,4,D
459429,25,30,0,null,2,2,2,6,2,6,D
459888,74,70,0,null,2,2,1,8,1,6,D
463467,23,30,0,0,4,1,1,6,2,0,D
462036,67,70,0,0,2,2,2,8,1,6,B
461282,21,30,1,0,4,1,1,6,2,0,D
460448,38,40,0,9,1,1,2,1,2,3,A
464464,28,30,1,0,4,1,1,6,2,2,C
462410,32,40,0,1,5,1,1,6,2,7,B
467252,33,40,0,0,4,1,2,0,2,0,D
459756,56,60,0,1,4,2,1,8,1,4,B
463789,53,60,0,1,2,2,2,1,2,6,C
466947,57,60,1,1,5,2,1,5,1,6,C
464150,59,60,0,0,3,2,2,1,0,6,C
465693,25,30,0,1,4,2,2,6,1,4,A
461670,59,60,1,0,6,2,2,1,0,6,C
466768,36,40,0,0,4,2,2,1,2,6,C
461550,37,40,1,7,2,2,2,4,2,6,A
462438,22,30,1,1,3,1,1,2,2,2,D
460704,43,50,1,1,2,2,2,1,2,6,B
464884,41,50,1,1,2,2,2,1,2,4,A
467050,21,30,0,0,5,1,1,3,2,2,B
460738,49,50,0,1,null,1,1,3,2,7,A
466176,38,40,1,8,1,1,2,2,2,2,B
459488,47,50,1,null,4,2,1,1,0,6,A
467773,70,70,1,1,3,2,2,8,1,6,C
465425,31,40,0,1,4,1,1,3,2,6,B
462318,82,70,0,0,2,2,1,8,0,6,A
466078,51,60,0,null,1,2,1,5,2,6,A
460792,42,50,0,11,null,1,1,7,2,6,A
460197,38,40,1,8,3,1,2,1,2,2,A
459375,18,20,1,0,4,2,1,5,1,6,A
463862,50,50,1,6,3,2,2,1,0,6,C
460144,46,50,0,1,null,1,2,2,2,3,A
462721,72,70,0,1,3,2,1,8,1,6,D
459637,33,40,0,null,4,1,1,3,2,6,C
465809,25,30,0,1,7,1,1,7,2,4,B
466915,75,70,0,2,2,2,1,4,1,2,D
467343,72,70,1,1,1,1,2,1,2,6,B
466268,72,70,0,0,3,2,2,1,0,4,C
464868,36,40,1,6,6,2,2,4,2,4,A
464038,40,40,1,1,2,2,2,1,2,6,A
460176,28,30,0,0,4,1,2,4,2,6,C
462161,28,30,0,0,3,1,2,2,2,6,D
464841,19,20,1,0,3,0,1,4,1,4,D
464893,43,50,1,0,2,2,2,1,2,4,B
464443,35,40,0,1,2,2,2,1,0,6,B
467619,65,70,1,1,2,2,2,8,1,6,B
465974,52,60,1,7,4,2,2,5,1,4,C
462075,40,40,0,1,1,1,2,1,2,6,B
459494,69,70,0,9,3,2,1,3,2,6,A
466921,22,30,0,3,3,1,1,6,2,6,D
463544,47,50,1,1,4,2,2,5,0,6,C
461167,29,30,1,1,2,2,2,9,1,3,A
467364,46,50,1,1,3,2,2,1,0,3,C
462408,32,40,1,1,2,1,2,1,2,6,A
466224,38,40,0,0,1,1,2,6,2,2,C
465151,59,60,1,0,1,2,2,1,2,6,B
467216,26,30,0,1,1,1,2,4,2,6,D
460586,26,30,1,1,2,1,2,6,2,3,A
461197,28,30,1,0,1,1,1,9,2,3,D
462776,53,60,0,1,3,2,2,3,0,6,C
465058,43,50,0,null,1,1,0,4,2,6,B
464088,27,30,1,1,3,1,1,2,2,6,D
459471,32,40,0,null,8,1,1,1,2,6,C
464695,26,30,1,0,4,1,1,3,2,4,D
462331,31,40,0,0,2,1,1,4,2,6,D
466523,39,40,1,1,3,2,2,5,1,3,B
465337,43,50,0,1,3,2,1,3,2,7,A
460834,25,30,1,1,2,2,1,2,2,1,A
466824,40,40,1,3,3,2,2,1,1,6,A
461607,40,40,0,7,2,2,2,4,0,3,B
465091,63,70,1,null,3,2,2,4,0,6,C
459532,27,30,0,null,2,2,2,6,2,6,D
466999,27,30,1,1,3,1,2,6,2,6,D
466597,19,20,0,1,2,1,1,6,2,6,D
464075,86,70,0,0,2,2,2,8,1,6,B
463394,41,50,1,null,2,2,2,9,1,6,B
462163,27,30,0,4,2,2,2,1,0,3,C
463895,70,70,0,0,2,2,1,2,0,6,B
464767,53,60,0,8,4,2,1,3,0,4,B
464763,49,50,0,null,4,2,1,3,0,4,B
460718,55,60,1,3,null,2,1,5,2,4,D
461989,57,60,0,0,4,0,2,3,0,2,C
466374,83,70,1,null,1,2,1,8,2,4,B
463738,43,50,1,0,4,2,1,5,1,6,A
465967,36,40,1,6,3,2,1,2,2,6,A
462260,74,70,1,0,2,2,2,8,2,6,C
467234,30,30,0,0,4,1,1,7,2,6,D
466573,37,40,0,5,2,1,2,1,2,6,B
463229,22,30,0,0,1,1,1,9,2,5,B
459768,19,20,1,0,4,1,1,6,2,6,D
462541,70,70,1,4,2,2,2,3,1,6,B
467714,89,70,1,13,1,2,2,8,2,6,A
467730,18,20,1,null,4,1,1,6,2,6,D
459474,25,30,1,6,1,1,2,2,2,2,D
460093,45,50,0,4,1,1,2,1,2,3,A
467865,35,40,0,3,1,1,2,1,2,4,A
465758,37,40,0,7,1,2,1,3,2,4,D
464184,39,40,0,4,2,2,1,3,0,6,B
462618,32,40,0,1,5,1,2,6,2,4,D
464226,62,70,0,2,3,2,2,1,0,6,C
465432,58,60,0,0,4,2,2,3,0,4,B
464087,32,40,0,null,4,1,1,3,2,6,C
466627,25,30,1,0,5,1,1,6,2,6,C
467380,56,60,0,0,4,2,2,1,0,6,C
465842,36,40,0,10,2,1,2,4,2,6,A
464622,30,30,0,8,3,1,1,6,2,6,A
462083,19,20,1,1,5,1,1,6,2,6,D
460910,27,30,1,0,2,1,2,6,2,6,A
460255,38,40,0,14,1,1,2,2,2,6,A
460109,46,50,1,8,2,2,2,1,0,6,C
464306,29,30,1,3,1,1,2,1,2,6,B
466835,51,60,1,1,4,2,1,4,0,7,B
465192,55,60,1,0,1,2,1,1,2,6,A
463380,69,70,0,1,1,2,2,3,2,3,A
462391,26,30,0,1,8,1,1,6,2,7,C
467086,83,70,0,0,3,2,2,8,2,6,A
460306,39,40,0,9,1,1,2,6,2,6,D
460752,35,40,1,9,1,2,2,1,2,6,A
467264,19,20,1,2,5,2,1,9,1,6,C
461646,60,60,0,null,4,2,2,1,1,6,C
463570,35,40,1,null,4,2,2,1,0,6,C
465277,53,60,0,null,1,1,2,3,2,6,B
467426,86,70,0,null,null,2,1,8,2,6,B
466258,29,30,0,1,3,1,1,6,2,6,B
463719,26,30,0,0,1,1,1,2,2,6,D
460032,36,40,1,8,1,1,2,3,2,6,A
465175,22,30,0,0,4,1,1,7,2,6,D
466610,19,20,1,0,5,1,1,9,2,6,A
459036,20,20,0,1,3,2,2,8,0,3,A
464047,43,50,1,3,3,1,2,6,2,6,D
459496,42,50,0,null,3,1,2,1,2,6,A
459997,43,50,1,1,2,1,2,4,2,4,A
463382,50,50,0,4,3,2,2,3,1,6,B
460967,25,30,1,1,2,1,2,4,2,6,A
465094,61,70,1,1,2,2,1,1,1,6,B
461229,28,30,0,0,2,2,2,6,0,6,A
466442,38,40,1,1,1,1,2,1,2,6,D
464527,25,30,1,12,3,1,1,5,2,6,A
463560,18,20,0,9,5,1,1,6,2,4,D
460011,43,50,1,1,5,2,2,4,0,5,C
467207,27,30,0,8,1,1,2,1,2,6,B
465177,60,60,0,1,2,1,2,4,2,6,D
467531,75,70,1,2,1,2,2,8,2,6,D
465409,31,40,0,null,4,1,1,2,2,6,D
462842,23,30,1,6,4,1,1,2,2,2,D
462124,36,40,1,8,1,1,2,1,2,6,A
466265,30,30,1,1,1,1,1,2,2,3,C
459789,56,60,1,1,2,2,1,1,0,6,C
464223,52,60,0,2,2,2,2,1,2,6,C
460280,39,40,1,0,1,2,2,4,2,6,D
460331,35,40,0,5,1,1,1,1,2,6,A
461494,33,40,1,0,2,2,1,3,0,6,B
460035,25,30,0,0,6,1,2,1,2,6,A
463812,27,30,0,0,2,2,2,1,0,4,B
465569,35,40,1,1,3,2,2,1,1,6,A
466333,41,50,0,1,2,2,2,1,0,6,C
467668,49,50,0,null,3,2,2,1,0,7,C
462723,46,50,0,8,2,2,1,1,0,6,B
460909,31,40,0,null,2,1,1,6,2,6,D
467777,49,50,1,null,1,1,2,2,2,6,C
462404,26,30,0,9,1,1,2,1,2,6,A
461799,43,50,1,13,2,2,2,2,1,6,B
459933,30,30,0,8,4,2,2,1,2,6,A
463717,70,70,0,1,4,2,2,1,0,6,C
463652,28,30,0,null,1,1,2,1,2,6,D
462149,89,70,0,3,1,2,1,8,1,6,D
462769,42,50,0,6,4,2,1,7,1,6,B
465532,37,40,0,6,3,2,2,4,0,4,A
462829,29,30,1,1,3,2,1,5,0,6,D
459210,68,70,0,1,2,2,2,1,1,6,C
464659,25,30,0,1,1,1,1,3,2,4,D
461411,29,30,1,1,null,1,1,6,2,6,D
467759,48,50,0,0,2,2,2,2,2,6,C
461475,51,60,0,1,3,2,2,2,0,1,C
462714,40,40,0,1,5,2,2,3,1,2,B
466890,47,50,1,0,6,2,2,1,0,7,B
462888,39,40,1,null,3,2,2,5,1,6,B
467479,35,40,1,1,4,2,2,5,0,6,C
466799,19,20,0,2,3,1,1,6,2,6,D
466557,21,30,0,7,null,1,1,6,2,6,D
460873,46,50,1,0,3,2,2,4,0,4,B
466776,86,70,1,0,1,2,2,8,2,6,B
459462,66,70,1,0,2,2,2,1,1,6,B
465727,42,50,1,1,5,1,1,9,2,4,D
462348,73,70,0,1,2,2,2,8,1,6,B
460941,72,70,1,1,1,2,1,3,2,6,A
461629,53,60,1,0,3,2,2,1,2,6,B
459907,39,40,0,8,2,2,2,1,0,6,C
467146,27,30,0,9,1,1,1,7,2,6,D
460916,63,70,1,1,null,2,1,4,0,6,B
459196,23,30,0,1,3,1,1,6,2,4,D
465444,30,30,0,0,4,1,2,4,2,6,B
464186,39,40,0,5,2,2,2,1,0,6,C
466412,26,30,1,1,3,2,2,1,0,6,B
459480,50,50,0,7,3,2,2,4,2,6,A
467880,45,50,0,1,2,2,2,1,0,6,C
460216,62,70,0,2,1,1,1,4,2,6,A
467941,27,30,0,1,3,1,2,2,2,6,A
466090,57,60,1,1,null,2,2,4,2,6,A
462572,30,30,0,1,7,2,1,3,0,4,A
467443,32,40,1,7,4,1,1,6,2,3,A
462548,18,20,1,null,5,1,0,5,2,4,A
459701,47,50,1,3,3,1,1,1,2,5,B
461139,32,40,0,4,4,1,2,1,2,2,A
461115,32,40,0,5,3,2,1,3,2,1,A
459027,67,70,1,1,4,2,2,2,0,6,B
467340,77,70,0,0,2,2,2,8,1,6,C
461410,79,70,1,0,2,2,1,0,0,0,C
460857,31,40,1,1,1,1,1,4,2,4,A
464300,42,50,1,0,3,2,2,1,2,4,A
460532,18,20,0,0,6,1,1,0,2,6,D
463287,50,50,1,1,4,2,2,1,0,2,C
461392,71,70,1,0,5,2,2,1,0,6,C
461546,72,70,0,1,3,2,1,8,2,6,A
467780,47,50,1,null,3,2,2,1,2,6,A
462130,45,50,1,9,2,2,2,1,0,6,C
464684,40,40,0,9,5,1,1,3,2,4,A
462276,36,40,0,4,1,1,2,3,2,6,A
462142,42,50,0,null,1,1,2,1,2,6,B
462417,30,30,1,4,4,1,1,6,2,6,D
466463,29,30,0,2,4,1,2,6,2,4,B
464736,28,30,1,0,5,1,2,3,2,4,D
467520,22,30,1,null,2,0,1,6,2,6,D
459835,85,70,1,null,1,2,1,8,2,6,D
463855,40,40,0,1,2,2,2,1,0,6,C
460344,52,60,0,14,2,2,2,1,0,6,C
466211,47,50,1,0,null,2,2,1,2,6,C
460139,26,30,1,6,6,1,1,1,2,5,D
464126,55,60,0,3,1,1,2,9,2,6,B
461286,20,20,0,4,4,1,1,2,2,6,D
461621,87,70,0,0,2,2,2,8,1,6,C
460163,28,30,1,0,2,1,1,6,2,4,A
461958,38,40,1,2,2,1,1,1,2,3,A
464875,42,50,1,1,2,2,1,4,2,4,B
464791,42,50,1,0,6,2,1,9,1,4,A
464579,29,30,0,1,4,1,1,3,2,6,D
463531,32,40,1,0,4,1,2,2,2,6,A
462651,38,40,1,null,5,2,1,5,1,4,D
465486,59,60,0,1,2,2,1,1,1,6,C
460882,22,30,1,0,2,1,1,6,2,3,D
467162,26,30,0,9,null,1,1,7,2,4,D
461298,78,70,0,1,2,2,2,1,1,6,C
461595,32,40,0,0,3,1,2,6,2,4,A
459260,37,40,1,0,4,2,2,1,0,7,C
462772,37,40,1,1,4,2,2,6,1,6,B
462941,67,70,1,null,2,1,1,8,2,6,D
459143,47,50,1,0,4,2,1,1,1,6,B
464532,68,70,0,0,2,2,2,8,1,6,A
460056,30,30,1,3,5,1,2,6,2,1,C
466761,48,50,0,2,1,2,2,4,2,1,A
465469,43,50,0,6,1,1,2,1,2,6,C
461886,33,40,1,9,2,2,2,6,2,6,D
465680,31,40,1,0,5,2,1,6,0,4,D
459316,32,40,1,1,2,2,2,6,2,6,D
465609,21,30,0,1,4,1,1,6,2,2,D
467009,29,30,0,2,4,1,1,7,2,3,D
461766,35,40,0,1,2,2,2,1,2,4,A
464938,46,50,1,0,3,2,1,1,2,4,A
462034,38,40,0,9,2,2,2,1,1,2,B
464049,32,40,0,1,3,1,2,6,2,6,C
467925,28,30,0,3,7,1,2,1,2,2,A
463711,68,70,0,3,1,2,2,8,2,6,A
463846,45,50,0,4,1,2,2,1,2,6,C
462064,58,60,1,0,3,2,2,1,0,7,C
463249,28,30,1,1,2,1,1,4,2,7,A
464217,32,40,0,12,3,1,1,6,2,6,A
463378,30,30,1,1,1,1,2,2,2,3,B
463035,42,50,0,3,4,2,1,7,0,6,D
459656,22,30,1,null,6,1,1,0,2,1,D
463114,41,50,1,null,3,1,2,1,2,6,C
465309,18,20,0,6,4,1,1,6,2,7,D
462688,29,30,0,8,3,2,2,6,2,3,D
459255,33,40,0,0,3,1,2,6,2,6,A
467385,47,50,1,1,null,1,1,1,2,4,A
467492,57,60,0,1,2,2,2,2,2,7,A
460789,36,40,1,1,3,2,2,5,2,6,D
467307,57,60,1,1,3,2,2,5,1,6,C
464026,18,20,1,1,2,1,1,6,2,6,D
464645,52,60,1,1,5,0,2,1,0,4,C
462493,52,60,1,1,6,2,2,1,0,6,C
460685,51,60,1,6,4,1,0,1,2,4,B
460452,37,40,0,0,2,2,2,4,0,1,B
459322,36,40,1,0,1,1,2,9,2,6,A
464066,29,30,0,9,3,1,2,6,2,4,A
461114,45,50,1,1,4,2,2,1,0,3,C
465165,61,70,1,0,1,1,2,1,2,6,B
464526,52,60,1,1,4,2,2,4,0,6,A
460666,49,50,0,14,1,2,2,7,2,6,A
465417,40,40,1,null,2,2,2,4,0,4,B
464096,31,40,0,1,5,1,1,6,2,4,C
464891,42,50,1,1,3,2,1,4,2,4,A
460107,51,60,1,1,5,2,2,3,0,6,C
467708,42,50,0,8,1,1,2,6,2,7,D
461873,29,30,1,1,4,1,2,2,2,6,C
465181,33,40,0,8,1,1,2,6,2,4,A
467204,27,30,1,null,3,1,2,6,2,6,D
467320,21,30,0,0,4,1,1,6,2,2,D
459468,35,40,1,9,3,2,1,1,0,6,B
467316,42,50,0,0,1,1,2,2,2,6,A
466182,41,50,0,2,1,1,2,1,2,6,C
463757,39,40,1,0,3,1,2,1,2,6,B
462314,28,30,0,14,1,1,1,2,2,6,A
466392,45,50,0,3,null,2,2,3,0,3,B
466652,61,70,0,1,2,2,2,2,0,6,B
461664,62,70,1,0,4,2,2,1,0,6,C
464105,65,70,1,1,2,2,2,4,0,6,C
466790,45,50,1,1,2,2,2,2,0,3,A
463844,26,30,0,9,2,2,2,3,2,6,B
462913,25,30,0,4,5,1,2,1,2,6,C
465541,45,50,0,1,4,2,2,1,0,7,C
459149,43,50,1,0,4,2,1,5,1,6,B
464508,49,50,1,1,3,2,2,5,1,6,C
458999,55,60,1,1,2,2,2,1,0,6,C
459947,37,40,0,3,1,1,2,1,2,6,B
465500,65,70,1,1,2,2,2,4,1,6,C
466009,32,40,0,10,5,1,1,0,2,6,C
466338,39,40,0,0,3,1,1,3,2,4,A
465122,40,40,0,2,2,2,2,1,0,6,C
465230,72,70,1,1,3,2,2,4,0,6,C
466369,38,40,0,5,1,1,1,7,2,2,B
463939,26,30,1,0,5,1,1,9,2,6,D
460825,30,30,1,1,3,1,2,2,2,4,D
461125,51,60,1,1,null,2,2,7,2,4,A
463471,57,60,1,1,4,1,2,9,2,7,A
467415,31,40,0,1,1,1,2,6,2,6,D
