Age,Gender,Dependent_Count,Education_Level,is_Married,Read_Book_per_Year,Income_Range
65,F,1,석사,0,56,A
37,F,2,석사,1,31,A
59,M,0,학사,1,50,D
53,F,2,학사,1,41,X
35,F,4,석사,0,29,A
37,F,3,석사,1,30,X
55,M,1,학사,0,42,E
44,F,4,석사,1,36,B
33,F,4,고졸,0,29,X
47,M,1,고졸,1,36,C
58,M,2,석사,1,54,E
54,M,2,석사,1,43,C
32,M,1,고졸,0,23,A
64,M,0,석사,0,36,A
45,F,4,고졸,0,35,X
39,M,5,학사,1,29,D
45,F,3,석사,0,39,B
31,F,0,석사,0,17,A
30,M,2,고졸,1,23,A
52,F,3,석사,1,44,A
48,M,2,고졸,1,42,B
35,M,3,고졸,1,24,C
52,M,2,석사,1,41,D
54,F,1,학사,1,43,X
49,F,4,고졸,1,43,A
50,M,1,석사,1,42,D
45,F,2,석사,0,33,A
45,M,3,고졸,1,33,B
40,F,4,학사,0,26,A
38,M,1,고졸,0,30,E
35,M,2,석사,1,36,D
41,F,4,고졸,0,36,A
36,F,5,고졸,1,17,A
41,M,2,학사,0,35,D
53,F,2,학사,0,46,A
36,M,3,석사,0,36,E
41,F,4,고졸,0,23,A
43,F,3,석사,1,33,X
55,F,1,박사,1,39,X
51,F,1,박사,1,42,A
50,M,3,석사,0,33,E
42,F,3,석사,1,33,A
39,F,3,학사,1,36,A
43,M,4,고졸,1,30,E
44,M,4,박사,1,39,E
51,F,4,고졸,1,43,B
26,M,1,석사,0,13,A
35,F,2,석사,1,36,A
56,M,1,학사,1,44,C
45,M,1,석사,0,36,C
53,F,1,박사,1,36,A
49,F,2,석사,1,39,A
36,M,3,학사,1,31,B
43,F,3,고졸,1,31,X
39,F,1,석사,1,36,A
40,F,4,석사,1,25,X
47,M,3,학사,1,27,E
41,F,3,박사,1,33,B
55,F,2,박사,1,47,X
38,F,2,석사,0,30,X
49,F,2,학사,1,35,A
57,F,1,석사,1,52,A
39,M,2,석사,1,36,C
45,F,4,석사,1,36,X
58,M,2,석사,1,48,A
46,M,4,박사,1,39,D
52,M,2,고졸,0,44,D
53,F,2,석사,0,43,A
59,M,0,고졸,1,47,A
62,F,0,석사,0,36,X
54,M,3,학사,1,45,D
42,M,4,학사,0,36,B
48,F,3,학사,0,38,X
65,M,1,고졸,0,54,A
47,F,4,석사,0,36,B
53,M,3,학사,1,40,D
48,F,2,석사,0,41,A
55,M,1,석사,1,36,C
45,F,3,석사,1,34,B
60,M,1,고졸,0,55,C
54,F,2,고졸,0,48,A
34,M,2,석사,1,28,E
51,M,4,석사,1,46,B
51,F,3,석사,0,45,X
51,M,1,석사,1,37,E
41,M,3,박사,0,34,C
54,M,1,석사,1,43,B
60,F,1,고졸,0,49,A
46,F,3,박사,0,36,A
39,F,1,석사,1,30,B
50,F,4,석사,1,36,A
52,F,2,박사,1,43,B
49,M,3,고졸,1,42,C
55,M,1,석사,0,44,D
50,F,2,석사,1,32,A
51,M,1,석사,1,32,D
65,F,1,석사,1,56,A
55,M,2,고졸,1,47,D
46,M,3,고졸,0,39,C
51,F,2,학사,1,32,X
40,F,3,고졸,1,32,A
53,F,4,석사,0,44,A
45,M,3,석사,0,38,C
54,F,1,석사,1,36,X
45,M,2,고졸,1,37,D
50,F,2,석사,1,40,X
59,M,1,고졸,1,53,B
44,M,2,고졸,1,36,C
54,F,1,석사,0,48,X
46,F,4,고졸,1,33,A
35,M,4,석사,0,22,C
47,F,4,석사,1,36,A
36,M,2,석사,1,28,C
55,M,2,고졸,0,36,D
37,F,3,석사,0,36,A
48,F,5,고졸,1,38,A
65,F,0,학사,0,55,A
26,F,0,고졸,0,13,A
50,F,1,박사,1,37,X
54,F,3,석사,0,47,X
51,M,2,학사,1,43,E
44,M,2,고졸,1,31,E
38,M,3,학사,0,19,B
46,F,0,석사,0,34,X
44,F,3,고졸,0,37,B
38,F,2,석사,1,36,A
30,F,0,학사,1,19,A
53,F,4,박사,1,37,A
33,F,3,석사,0,36,A
37,F,2,석사,1,36,B
27,M,1,고졸,0,18,C
57,F,3,박사,0,36,X
41,M,3,박사,0,30,C
54,F,4,학사,0,44,A
45,M,5,고졸,1,36,C
34,F,1,박사,1,25,X
57,F,3,고졸,0,37,X
42,M,3,고졸,0,29,D
44,F,0,학사,1,40,A
49,F,1,석사,1,39,X
43,M,5,고졸,1,36,C
61,F,0,석사,1,56,A
50,M,1,고졸,0,37,E
60,F,1,박사,0,47,X
54,M,2,석사,1,46,D
56,M,2,석사,1,36,E
48,M,3,석사,1,36,E
40,F,4,석사,0,26,A
40,F,2,고졸,0,34,A
43,F,3,고졸,1,28,A
45,M,3,석사,0,31,E
52,M,2,석사,0,37,E
45,F,3,석사,0,33,A
45,F,2,학사,0,33,A
50,F,4,고졸,0,42,A
57,F,2,석사,0,36,A
41,M,5,고졸,1,33,C
37,F,4,고졸,0,36,A
53,M,0,고졸,1,46,C
50,F,1,석사,1,38,A
45,F,3,고졸,0,35,X
50,M,3,석사,1,35,E
42,F,4,석사,1,36,A
50,F,2,석사,1,40,B
56,F,1,석사,0,47,B
51,F,3,고졸,0,38,A
34,F,1,고졸,1,28,A
36,F,3,석사,0,22,B
32,M,2,석사,1,36,D
36,M,2,고졸,0,27,D
47,M,2,학사,1,43,B
59,F,1,박사,1,40,A
50,F,4,학사,1,36,X
57,F,3,석사,1,45,A
56,F,3,석사,0,49,A
54,M,3,고졸,1,43,C
35,F,2,학사,0,18,A
34,F,4,석사,0,29,X
52,M,2,박사,1,34,E
42,F,3,석사,0,36,A
34,M,2,석사,1,17,B
35,F,2,석사,1,27,B
41,F,1,고졸,0,36,A
50,F,5,석사,0,41,A
46,F,3,고졸,0,36,X
51,M,4,학사,0,33,E
39,F,0,석사,1,36,A
34,F,2,박사,0,28,A
52,F,3,고졸,1,40,A
36,M,2,석사,1,28,C
55,F,2,석사,1,41,X
65,F,2,석사,0,56,A
58,M,3,석사,1,47,E
44,M,3,학사,1,36,B
51,M,2,고졸,0,42,C
51,F,0,고졸,1,42,X
63,M,2,석사,1,36,A
47,M,4,고졸,1,40,B
42,F,4,학사,1,37,B
63,M,1,석사,0,36,C
34,F,1,석사,0,28,A
39,F,0,고졸,0,27,X
57,M,2,석사,0,44,E
41,F,3,석사,1,33,X
58,F,2,석사,1,53,A
49,F,4,학사,1,36,A
47,M,3,석사,1,41,A
43,M,3,석사,1,33,D
35,F,2,고졸,1,22,A
53,F,1,학사,0,38,A
47,F,2,학사,0,40,A
38,M,4,고졸,0,36,D
42,M,2,석사,0,36,D
45,M,3,석사,1,36,D
38,F,3,석사,0,22,A
44,F,3,석사,0,34,A
44,F,1,고졸,1,36,A
54,F,1,학사,1,36,A
51,M,0,고졸,0,45,D
55,F,2,석사,0,47,A
41,M,4,석사,1,26,C
50,F,3,고졸,0,39,A
52,F,2,고졸,0,40,A
50,M,2,고졸,1,38,E
31,F,0,학사,1,21,A
38,F,2,고졸,1,27,B
54,M,3,고졸,1,36,D
48,M,2,고졸,1,39,D
65,F,1,석사,0,55,X
56,F,2,석사,0,36,A
48,M,2,석사,0,31,B
53,F,2,석사,1,45,B
48,M,3,학사,1,36,A
33,M,2,학사,1,20,E
47,M,4,고졸,1,36,D
48,F,2,석사,1,35,A
47,M,1,석사,1,37,C
53,F,1,박사,0,48,A
52,F,1,석사,1,38,A
47,M,3,고졸,1,41,B
48,M,1,학사,1,29,C
57,M,3,고졸,0,38,D
64,M,1,석사,0,56,A
26,F,0,학사,1,13,B
55,F,2,석사,1,43,A
43,M,5,고졸,1,37,E
63,F,2,석사,1,52,A
50,M,2,고졸,1,40,E
56,F,3,고졸,1,51,B
61,M,0,학사,0,50,D
51,M,2,석사,1,44,E
58,F,2,석사,0,47,A
30,F,1,석사,1,36,A
40,M,4,고졸,1,21,D
26,F,0,석사,0,13,B
59,F,0,석사,1,36,A
53,M,2,고졸,0,35,E
46,F,3,학사,1,40,X
53,F,1,석사,0,45,A
51,M,3,석사,0,36,C
38,F,3,고졸,1,27,B
48,F,4,석사,0,40,X
59,F,1,석사,0,36,X
43,F,3,석사,0,29,B
59,F,1,석사,0,36,B
41,M,4,석사,0,33,D
46,F,4,석사,1,34,B
40,M,3,석사,1,31,D
38,M,3,석사,1,34,C
48,M,5,석사,1,42,D
32,M,3,학사,0,21,D
39,M,4,석사,0,34,C
61,M,0,석사,0,50,D
54,F,3,박사,0,36,A
39,F,1,석사,0,30,A
51,M,0,학사,0,33,D
45,F,4,학사,0,41,A
34,M,3,고졸,1,25,E
37,F,3,석사,0,25,B
36,F,1,석사,1,36,B
56,M,2,고졸,1,41,E
39,F,1,석사,1,29,A
42,M,4,고졸,1,30,D
57,F,0,석사,0,45,A
44,F,3,학사,0,24,A
48,M,3,고졸,1,37,C
26,M,0,고졸,0,15,B
46,F,2,고졸,1,39,X
45,M,3,고졸,0,29,A
57,F,3,고졸,1,51,A
39,M,2,석사,0,24,C
38,M,1,석사,0,27,D
29,M,2,고졸,1,15,D
41,M,4,석사,0,34,C
48,F,4,고졸,0,38,B
44,F,4,석사,1,34,X
53,M,2,고졸,0,36,E
41,M,3,석사,0,26,D
52,M,2,고졸,0,46,D
45,M,0,석사,1,40,C
53,F,3,고졸,1,45,X
46,M,2,박사,0,34,D
39,M,1,석사,1,31,C
55,M,2,석사,1,36,E
53,M,2,석사,0,47,C
54,F,2,박사,1,41,A
33,F,1,석사,0,36,A
39,F,2,고졸,0,28,B
43,F,3,학사,1,31,B
42,M,4,석사,1,36,C
40,F,4,고졸,0,29,B
55,F,2,석사,1,36,B
47,F,0,학사,1,27,A
61,M,0,석사,1,48,C
52,M,1,석사,1,43,D
56,M,2,고졸,1,51,C
49,M,4,고졸,0,30,C
42,F,2,석사,0,32,A
49,M,4,석사,0,36,C
38,F,2,석사,0,25,A
29,F,1,석사,1,36,A
48,M,3,학사,1,41,D
39,F,1,석사,0,21,A
54,M,3,석사,0,38,D
48,F,2,박사,1,40,A
45,F,3,고졸,0,36,B
46,M,3,석사,1,29,C
39,M,2,석사,1,31,B
45,F,2,고졸,0,37,X
38,F,1,석사,0,22,A
53,F,2,고졸,0,46,A
59,M,0,고졸,0,44,A
54,F,2,고졸,1,45,A
51,M,2,박사,0,40,B
51,F,3,고졸,1,35,A
47,F,3,고졸,1,36,A
50,F,1,고졸,1,42,A
51,F,0,석사,1,32,A
47,F,3,석사,1,35,A
51,F,3,석사,0,41,A
49,F,5,고졸,1,36,X
49,M,1,석사,1,39,E
49,M,4,고졸,0,38,D
45,M,1,석사,0,41,C
52,F,1,고졸,1,36,A
59,F,0,석사,1,53,A
45,M,3,석사,1,41,C
34,F,4,석사,0,28,B
54,F,2,석사,1,45,A
43,F,3,학사,0,33,A
48,M,4,고졸,0,42,C
37,F,3,고졸,1,36,X
40,M,2,고졸,1,36,D
55,M,2,석사,0,36,D
45,F,3,석사,0,39,B
49,F,0,박사,1,40,A
46,M,2,학사,1,36,D
44,F,3,고졸,1,38,X
46,F,4,석사,1,42,A
42,F,4,석사,0,32,A
49,M,3,학사,0,36,C
32,M,0,고졸,1,13,C
55,M,4,학사,1,40,D
45,F,3,고졸,0,36,X
55,M,2,석사,0,47,E
32,M,3,고졸,0,36,B
37,M,2,고졸,0,24,B
30,M,0,고졸,1,36,C
51,F,4,석사,0,39,A
47,F,3,고졸,0,41,B
39,M,4,석사,1,35,D
37,F,2,학사,0,26,B
57,F,2,석사,1,47,B
42,M,3,고졸,1,30,B
45,M,4,석사,0,38,E
61,F,0,고졸,1,47,A
56,M,3,석사,1,37,C
33,M,2,학사,0,23,D
57,F,5,석사,1,49,B
44,F,1,석사,0,31,A
55,F,2,박사,1,36,A
59,F,0,석사,0,53,A
57,M,2,석사,0,51,E
34,M,3,고졸,1,29,B
50,F,2,고졸,1,40,X
36,F,3,고졸,1,26,A
57,F,1,석사,0,48,B
42,M,3,석사,0,36,E
65,F,1,고졸,1,36,A
54,F,4,학사,0,46,A
49,M,1,고졸,1,36,C
43,F,3,학사,1,34,A
36,F,0,학사,0,27,A
44,F,1,석사,0,38,B
54,F,0,학사,1,46,B
34,F,3,학사,0,36,A
56,M,2,석사,1,44,C
32,F,1,석사,1,20,A
47,M,4,박사,0,36,D
38,M,1,학사,1,36,C
31,M,1,학사,0,22,B
48,M,3,석사,0,37,D
61,M,0,석사,1,56,D
40,F,3,석사,0,27,A
41,F,2,석사,1,36,B
35,M,4,석사,1,30,E
41,F,3,고졸,0,32,X
53,M,1,석사,1,48,D
46,M,4,학사,0,36,E
46,F,4,고졸,1,41,A
52,M,3,석사,0,46,C
43,F,5,석사,1,35,A
52,F,2,석사,0,38,A
51,F,1,고졸,0,45,A
45,F,3,학사,0,33,X
48,F,2,석사,0,36,A
51,M,4,고졸,0,45,C
40,F,2,석사,1,28,A
55,F,3,고졸,0,47,B
48,F,3,고졸,0,36,B
38,F,2,고졸,0,33,A
33,F,0,석사,1,36,X
38,F,2,석사,0,26,A
51,F,1,석사,1,42,A
41,F,1,학사,1,32,A
47,M,3,학사,1,36,C
55,F,1,고졸,1,36,A
45,F,3,석사,0,36,A
54,F,3,고졸,1,49,B
58,M,1,고졸,1,46,C
59,M,0,석사,0,46,C
59,F,0,석사,0,45,B
59,F,1,고졸,0,52,X
43,M,1,고졸,1,31,C
53,F,2,학사,1,34,B
65,M,1,학사,0,54,A
55,M,4,석사,0,36,E
54,F,4,석사,1,43,X
52,M,2,고졸,0,36,B
55,M,1,석사,0,42,E
54,M,0,고졸,0,45,D
46,F,3,석사,0,41,B
40,M,1,고졸,0,28,B
53,F,1,학사,1,36,A
42,M,4,고졸,0,28,D
43,F,3,고졸,0,25,X
62,F,0,고졸,1,51,A
58,M,1,석사,0,36,E
48,M,3,석사,1,30,B
62,F,0,학사,1,49,B
31,M,1,학사,0,36,B
36,M,2,석사,0,28,E
54,M,1,학사,1,37,C
30,M,0,석사,1,21,A
52,F,1,학사,0,43,A
42,F,3,박사,0,18,A
43,M,3,고졸,0,38,C
50,F,1,석사,1,35,A
53,F,0,고졸,1,36,B
59,M,1,석사,1,53,B
48,F,2,고졸,0,36,A
49,F,4,박사,0,42,A
45,M,2,학사,1,35,C
52,F,3,석사,1,36,A
49,M,1,석사,0,36,E
51,F,3,석사,1,35,A
57,M,2,석사,1,47,D
42,M,2,석사,1,36,C
37,F,2,고졸,1,27,A
38,F,2,석사,0,32,A
41,F,1,석사,0,32,A
47,F,4,석사,1,37,A
53,F,1,석사,0,46,A
41,M,2,학사,1,33,D
49,F,1,석사,1,38,B
38,F,2,고졸,0,16,A
55,M,1,석사,1,44,C
35,M,0,학사,0,16,D
55,F,1,석사,1,46,B
38,M,3,고졸,0,29,D
52,M,0,석사,0,41,E
46,M,5,고졸,0,37,B
39,F,4,고졸,0,36,X
49,M,5,학사,1,45,B
45,F,2,석사,0,34,A
31,F,0,석사,1,22,A
56,M,2,학사,1,36,E
38,M,3,학사,0,18,C
54,F,1,석사,0,34,A
47,F,2,고졸,1,40,B
60,F,2,석사,1,54,X
34,F,0,고졸,1,36,B
54,M,1,고졸,0,34,C
35,F,1,석사,1,29,B
37,M,1,고졸,1,32,E
26,M,0,석사,0,21,A
46,F,3,석사,1,35,A
50,M,1,고졸,1,35,A
50,M,4,석사,1,31,D
44,F,2,학사,1,39,B
45,F,3,고졸,1,34,A
38,F,3,고졸,1,27,A
49,M,0,고졸,0,39,D
39,M,1,학사,0,36,D
51,M,2,석사,1,45,B
38,F,2,석사,1,31,A
48,F,4,고졸,0,36,X
42,M,2,석사,1,31,D
51,F,3,석사,1,37,X
37,M,1,석사,0,24,D
46,M,3,고졸,1,36,C
47,F,1,고졸,0,36,X
49,M,4,석사,0,36,D
41,F,2,석사,0,25,B
44,M,4,석사,1,36,D
53,M,3,석사,1,46,E
57,F,0,고졸,1,45,B
46,M,2,고졸,0,36,A
40,F,4,학사,1,24,B
40,M,4,석사,1,35,C
55,F,3,석사,1,45,X
43,M,3,박사,1,27,D
57,M,2,석사,1,49,E
33,F,2,고졸,1,27,A
44,F,2,석사,1,37,A
44,M,3,학사,1,34,C
31,F,0,고졸,1,13,A
52,F,5,석사,0,41,B
33,F,1,학사,0,17,A
44,F,3,학사,0,30,A
45,F,3,석사,1,36,X
50,F,2,고졸,1,45,B
51,M,2,석사,1,35,D
43,F,2,고졸,1,29,A
64,F,0,석사,1,36,X
58,M,2,고졸,0,54,D
43,M,3,학사,0,33,B
54,M,0,고졸,1,36,D
42,F,4,석사,1,36,A
54,M,4,석사,1,36,C
52,F,1,석사,0,40,A
31,F,0,고졸,1,22,A
44,F,2,고졸,1,32,A
47,M,1,고졸,0,36,D
37,M,1,학사,0,26,C
38,F,2,고졸,0,28,A
46,M,4,석사,1,36,D
49,F,3,석사,1,39,X
38,F,3,고졸,1,28,A
26,F,0,고졸,0,13,X
36,M,2,박사,0,31,B
34,F,2,고졸,1,13,A
52,M,2,석사,1,36,D
56,F,5,학사,0,43,A
57,M,1,석사,0,36,D
43,M,3,석사,1,31,E
44,M,4,석사,0,36,E
49,F,3,석사,1,43,A
35,M,1,박사,0,24,B
42,F,4,학사,1,27,A
48,F,4,석사,1,43,B
48,F,2,석사,1,41,X
51,M,3,고졸,1,36,C
53,F,0,고졸,0,44,A
38,F,3,석사,0,21,X
53,M,3,학사,0,36,C
36,M,4,석사,0,24,D
52,F,1,고졸,1,35,A
31,M,0,고졸,0,25,B
46,F,2,석사,1,40,A
53,F,2,석사,1,40,A
46,F,4,고졸,0,34,A
48,M,2,고졸,0,36,C
48,F,3,석사,0,42,A
46,M,1,고졸,1,28,E
50,F,2,박사,0,40,A
52,F,4,고졸,0,44,A
41,F,1,석사,0,28,B
48,M,2,고졸,1,36,E
36,F,3,고졸,1,36,A
29,F,1,석사,0,36,X
41,F,4,석사,1,36,A
38,M,1,고졸,1,24,D
49,F,3,석사,0,37,X
58,F,0,석사,0,48,A
47,M,3,고졸,0,31,B
44,F,4,석사,0,36,A
41,F,2,석사,1,33,A
52,F,2,석사,0,47,X
51,M,3,학사,1,34,D
56,F,1,학사,0,43,A
43,M,2,석사,0,36,D
40,F,5,고졸,1,31,A
60,M,1,석사,0,48,A
45,M,3,석사,1,35,B
57,F,3,고졸,0,46,A
33,F,2,박사,1,36,B
52,M,1,석사,0,44,D
30,F,0,석사,0,17,A
46,M,1,석사,0,41,D
50,F,1,학사,0,45,A
37,F,2,고졸,0,28,A
47,F,3,석사,0,39,A
30,M,1,고졸,1,16,C
62,F,0,박사,1,51,B
65,M,1,고졸,1,53,B
54,F,4,석사,1,40,X
38,F,3,석사,1,36,A
44,F,1,고졸,1,35,B
38,M,2,고졸,1,32,B
38,M,2,석사,1,25,C
46,F,3,석사,1,39,X
45,F,4,박사,1,36,A
48,F,1,고졸,1,28,B
31,M,1,고졸,1,24,C
40,M,3,석사,1,36,C
57,F,3,고졸,0,53,A
37,M,4,석사,1,30,C
51,M,4,고졸,1,38,C
53,M,4,고졸,1,43,D
40,F,3,고졸,0,36,X
41,F,3,고졸,1,28,A
51,M,1,고졸,0,36,C
44,F,2,석사,1,36,X
37,M,2,고졸,0,21,C
43,M,2,학사,1,28,C
35,M,1,고졸,1,25,D
47,F,1,고졸,1,43,X
54,M,3,고졸,1,36,D
56,F,3,고졸,1,41,X
54,F,4,고졸,0,48,B
44,M,2,석사,1,37,C
44,F,3,고졸,0,34,A
65,F,0,학사,1,56,A
44,F,2,고졸,0,36,A
42,M,3,석사,0,31,C
50,M,3,고졸,0,44,B
33,M,4,고졸,0,25,B
50,F,2,학사,0,41,A
43,M,2,석사,1,34,B
51,F,2,석사,0,39,A
44,F,2,석사,0,35,B
42,F,3,학사,1,28,A
50,F,3,고졸,1,33,A
59,F,2,고졸,0,52,X
49,F,3,석사,1,43,A
40,F,4,석사,0,20,A
46,F,4,석사,1,34,A
53,M,0,석사,1,33,E
46,F,3,석사,1,40,X
52,M,2,고졸,0,45,B
47,F,2,석사,0,36,A
52,F,0,박사,1,36,A
33,M,2,박사,0,25,B
46,F,2,석사,0,36,X
56,F,0,학사,1,36,B
50,F,3,석사,1,37,A
54,M,4,고졸,0,39,D
38,F,0,석사,0,32,A
47,M,1,학사,1,42,C
45,M,2,학사,1,38,C
51,F,4,석사,0,42,A
60,F,0,학사,1,49,A
39,F,1,학사,0,36,X
38,M,3,학사,0,32,C
32,M,0,석사,0,21,B
45,M,4,석사,0,36,A
61,M,1,석사,1,55,C
52,M,2,학사,1,41,D
57,F,2,고졸,1,46,A
46,F,4,석사,0,36,A
38,M,1,박사,0,29,D
65,M,0,석사,0,48,X
44,F,1,고졸,0,39,X
49,M,4,고졸,1,36,D
37,M,2,석사,1,36,A
43,M,5,석사,0,33,B
48,M,0,박사,1,41,C
50,F,2,고졸,1,43,A
49,F,4,석사,0,36,A
37,M,1,고졸,0,21,C
57,F,2,고졸,0,45,A
51,M,2,고졸,1,41,D
41,M,2,고졸,1,30,C
37,F,3,고졸,1,31,B
53,M,1,석사,1,36,D
39,M,2,석사,1,27,C
50,F,5,석사,1,30,A
60,M,1,석사,1,46,E
51,F,2,고졸,1,37,A
65,M,1,석사,0,56,X
46,M,2,고졸,0,32,B
37,F,2,석사,1,30,A
50,M,2,고졸,0,38,D
33,M,2,박사,0,23,E
39,M,4,고졸,1,25,D
52,F,0,학사,1,45,B
29,F,0,고졸,0,13,A
59,M,1,고졸,1,36,C
60,F,1,석사,1,42,B
59,F,1,고졸,1,50,A
54,F,3,석사,0,36,A
52,F,4,석사,1,36,A
57,M,2,고졸,0,47,C
59,M,2,석사,0,50,C
45,M,3,석사,0,39,D
39,M,1,석사,0,28,E
54,F,4,석사,0,43,A
29,F,1,고졸,0,23,A
52,F,3,석사,0,36,A
41,F,2,고졸,0,36,B
45,M,4,석사,0,37,B
50,F,3,석사,1,39,B
33,F,3,학사,0,23,A
64,F,0,석사,1,51,A
46,M,2,고졸,0,36,B
42,F,3,석사,1,36,A
49,F,2,학사,0,41,A
45,F,2,석사,1,38,A
50,F,2,고졸,1,41,X
64,F,0,고졸,1,53,B
39,F,2,석사,0,26,A
50,F,1,고졸,0,42,X
44,M,2,석사,1,36,D
35,M,4,학사,1,36,A
32,F,0,석사,1,19,A
50,F,2,석사,0,38,A
43,M,4,석사,0,34,C
41,F,4,석사,1,36,B
49,F,4,석사,1,36,A
41,F,3,고졸,0,31,B
60,M,2,석사,1,50,C
49,M,4,석사,0,42,B
45,F,3,고졸,0,36,B
53,F,1,고졸,1,36,A
45,M,4,고졸,0,35,C
51,M,4,석사,1,33,C
44,M,3,석사,0,29,B
55,F,2,석사,1,45,A
54,M,3,고졸,1,42,E
52,F,1,고졸,1,36,B
35,M,3,석사,0,25,D
39,M,1,석사,1,36,D
55,M,4,고졸,0,51,C
36,M,2,고졸,1,36,E
38,M,3,석사,0,29,E
47,M,3,석사,1,42,E
61,F,1,학사,0,50,X
46,M,3,고졸,1,35,E
47,M,2,석사,1,38,D
