model,engine_power,age_in_days,km,previous_owners,price,,,,,,,,,,,
lounge,51,4108,45300,1,7400,,,,,,,,,,,
lounge,51,4108,45300,1,7400,,,,,,,,,,,
lounge,51,3227,75359,1,7800,,,,,,,,,,,
lounge,51,366,12585,1,9900,,,,,,,,,,,
pop,62,2101,103000,1,7900,,,,,,,,,,,
sport,51,2739,77149,3,7800,,,,,,,,,,,
lounge,51,456,13587,3,10900,,,,,,,,,,,
lounge,51,1797,55595,3,7800,,,,,,,,,,,
lounge,51,397,17250,3,10050,,,,,,,,,,,
sport,51,4292,145000,3,4799,,,,,,,,,,,
lounge,51,790,20849,1,8100,,,,,,,,,,,
lounge,51,3988,107375,1,5800,,,,,,,,,,,
pop,63,2009,100000,1,7500,,,,,,,,,,,
lounge,51,456,17841,1,10900,,,,,,,,,,,
lounge,51,762,44778,1,9390,,,,,,,,,,,
pop,51,3258,78681,1,7490,,,,,,,,,,,
pop,51,4474,123000,1,4900,,,,,,,,,,,
lounge,51,397,17912,1,9970,,,,,,,,,,,
lounge,51,1066,69916,1,8980,,,,,,,,,,,
lounge,51,2647,97700,1,7450,,,,,,,,,,,
pop,51,366,11500,1,9500,,,,,,,,,,,
lounge,51,397,17250,1,10050,,,,,,,,,,,
lounge,51,366,12372,1,10465,,,,,,,,,,,
sport,51,4292,165600,1,5950,,,,,,,,,,,
pop,51,1066,28000,1,8500,,,,,,,,,,,
sport,51,2009,86000,2,7800,,,,,,,,,,,
lounge,51,456,18592,2,10900,,,,,,,,,,,
pop,51,731,41558,2,8790,,,,,,,,,,,
pop,51,4018,96000,2,5700,,,,,,,,,,,
lounge,51,701,19000,1,10000,,,,,,,,,,,
lounge,51,397,18183,1,9970,,,,,,,,,,,
lounge,51,1066,69916,1,8980,,,,,,,,,,,
pop,51,2647,75500,1,7500,,,,,,,,,,,
pop,51,1827,39500,1,9800,,,,,,,,,,,
lounge,51,397,17250,1,10050,,,,,,,,,,,
pop,51,3835,128000,1,4900,,,,,,,,,,,
pop,51,366,12929,1,9400,,,,,,,,,,,
lounge,51,3562,113254,2,6100,,,,,,,,,,,
lounge,51,366,18000,1,10700,,,,,,,,,,,
lounge,51,397,16643,1,9970,,,,,,,,,,,
lounge,51,2892,92300,1,7500,,,,,,,,,,,
lounge,51,640,34873,1,9500,,,,,,,,,,,
sport,51,4018,102000,1,6500,,,,,,,,,,,
lounge,51,397,16135,1,10650,,,,,,,,,,,
lounge,51,3865,95350,1,5500,,,,,,,,,,,
lounge,51,425,19909,1,10950,,,,,,,,,,,
lounge,51,425,16518,1,11000,,,,,,,,,,,
pop,62,3135,113000,1,5800,,,,,,,,,,,
pop,51,1096,50000,1,9500,,,,,,,,,,,
pop,62,3013,120000,1,4900,,,,,,,,,,,
lounge,51,3227,105000,1,6500,,,,,,,,,,,
lounge,51,2831,104000,1,6000,,,,,,,,,,,
pop,51,2831,56779,4,7500,,,,,,,,,,,
lounge,51,397,17590,1,9970,,,,,,,,,,,
pop,51,1127,7772,1,9000,,,,,,,,,,,
lounge,51,2861,85000,1,7700,,,,,,,,,,,
lounge,51,3623,75900,1,6300,,,,,,,,,,,
lounge,51,1127,21400,1,9500,,,,,,,,,,,
lounge,51,4292,112400,1,5000,,,,,,,,,,,
lounge,51,366,18590,1,10900,,,,,,,,,,,
sport,51,3988,175000,1,4800,,,,,,,,,,,
lounge,51,701,22700,1,10250,,,,,,,,,,,
pop,51,1096,50000,1,9500,,,,,,,,,,,
lounge,62,3470,110000,1,4990,,,,,,,,,,,
pop,51,1400,49000,1,8200,,,,,,,,,,,
lounge,51,790,34012,1,10550,,,,,,,,,,,
lounge,51,1155,53589,1,8950,,,,,,,,,,,
lounge,51,397,14431,1,9970,,,,,,,,,,,
lounge,51,2953,80000,1,6900,,,,,,,,,,,
lounge,51,4169,81900,2,4900,,,,,,,,,,,
lounge,51,3074,124100,2,6700,,,,,,,,,,,
pop,51,1827,46000,1,7800,,,,,,,,,,,
lounge,74,4230,176000,1,4990,,,,,,,,,,,
lounge,51,366,13124,1,10950,,,,,,,,,,,
lounge,51,4018,152900,1,5500,,,,,,,,,,,
lounge,51,762,15917,1,9900,,,,,,,,,,,
sport,51,4383,74000,1,6900,,,,,,,,,,,
lounge,51,456,13215,1,9490,,,,,,,,,,,
lounge,51,366,14732,1,9950,,,,,,,,,,,
lounge,51,2892,67000,1,7900,,,,,,,,,,,
lounge,51,790,39916,1,10279,,,,,,,,,,,
lounge,51,397,13600,1,9970,,,,,,,,,,,
lounge,51,701,21580,1,11090,,,,,,,,,,,
lounge,51,3500,106000,1,5600,,,,,,,,,,,
lounge,51,1858,35304,1,8000,,,,,,,,,,,
lounge,51,4018,174000,1,5400,,,,,,,,,,,
lounge,51,1886,51786,1,7990,,,,,,,,,,,
lounge,51,456,56779,1,10800,,,,,,,,,,,
lounge,51,3409,70000,1,5800,,,,,,,,,,,
pop,51,3409,56779,1,8700,,,,,,,,,,,
lounge,51,397,16755,1,9490,,,,,,,,,,,
pop,51,701,48268,1,9000,,,,,,,,,,,
pop,51,3531,97000,1,6500,,,,,,,,,,,
lounge,51,790,39916,1,10280,,,,,,,,,,,
pop,51,3804,114000,1,4500,,,,,,,,,,,
lounge,51,397,15341,1,10950,,,,,,,,,,,
lounge,51,3531,83000,1,5900,,,,,,,,,,,
pop,51,2496,57200,1,7900,,,,,,,,,,,
lounge,51,2892,96685,1,5900,,,,,,,,,,,
lounge,51,366,17272,1,11000,,,,,,,,,,,
sport,51,4077,124000,1,4250,,,,,,,,,,,
lounge,51,731,24700,1,9450,,,,,,,,,,,
pop,51,578,5000,1,8900,,,,,,,,,,,
lounge,51,456,19133,1,10900,,,,,,,,,,,
lounge,51,456,11998,1,9590,,,,,,,,,,,
pop,51,790,39461,1,10800,,,,,,,,,,,
lounge,51,1066,1232,1,9900,,,,,,,,,,,
lounge,51,790,39916,1,10280,,,,,,,,,,,
lounge,51,1308,23500,1,9800,,,,,,,,,,,
lounge,51,397,14991,1,10950,,,,,,,,,,,
lounge,51,2496,104000,1,6900,,,,,,,,,,,
lounge,51,3378,132000,2,4800,,,,,,,,,,,
lounge,51,548,20000,1,9600,,,,,,,,,,,
lounge,51,487,18337,1,10500,,,,,,,,,,,
pop,51,1400,25282,1,8200,,,,,,,,,,,
lounge,51,4322,117000,1,5399,,,,,,,,,,,
lounge,51,3197,160403,1,5500,,,,,,,,,,,
lounge,51,1431,81900,1,10000,,,,,,,,,,,
lounge,51,821,19000,1,9990,,,,,,,,,,,
pop,51,670,45000,1,10670,,,,,,,,,,,
lounge,51,670,38000,1,8900,,,,,,,,,,,
pop,51,4353,76000,1,5500,,,,,,,,,,,
lounge,51,3227,142000,1,4900,,,,,,,,,,,
lounge,51,517,9150,1,10600,,,,,,,,,,,
pop,51,1552,52026,1,6900,,,,,,,,,,,
lounge,51,2282,145150,2,6800,,,,,,,,,,,
lounge,51,397,19783,2,11000,,,,,,,,,,,
lounge,51,3743,105610,2,4900,,,,,,,,,,,
lounge,51,1035,18000,1,10990,,,,,,,,,,,
lounge,51,1461,54000,1,10000,,,,,,,,,,,
pop,51,852,10400,1,10400,,,,,,,,,,,
lounge,51,762,22000,1,9790,,,,,,,,,,,
lounge,51,4505,102502,1,5700,,,,,,,,,,,
lounge,51,366,10000,1,10990,,,,,,,,,,,
lounge,51,4292,124000,1,5300,,,,,,,,,,,
lounge,51,397,14284,1,10850,,,,,,,,,,,
pop,62,1917,37900,1,7600,,,,,,,,,,,
pop,51,2588,88000,1,5500,,,,,,,,,,,
lounge,51,456,13600,1,10400,,,,,,,,,,,
pop,51,2557,52000,1,6900,,,,,,,,,,,
lounge,51,1247,27464,1,8200,,,,,,,,,,,
lounge,51,425,23212,1,10500,,,,,,,,,,,
sport,51,3592,99180,1,6700,,,,,,,,,,,
lounge,51,701,25000,1,9790,,,,,,,,,,,
lounge,51,1247,39600,1,8500,,,,,,,,,,,
lounge,51,3044,132000,1,7900,,,,,,,,,,,
pop,51,790,48000,1,8500,,,,,,,,,,,
lounge,51,4018,118000,2,5100,,,,,,,,,,,
lounge,51,3927,121000,2,4500,,,,,,,,,,,
lounge,51,2131,59753,1,6900,,,,,,,,,,,
lounge,51,1886,56500,1,8500,,,,,,,,,,,
lounge,51,397,18019,1,11000,,,,,,,,,,,
lounge,51,3712,108000,1,6600,,,,,,,,,,,
sport,73,3896,120000,1,5100,,,,,,,,,,,
lounge,51,3896,120000,1,5900,,,,,,,,,,,
lounge,51,425,18233,1,10500,,,,,,,,,,,
lounge,51,456,10062,1,10700,,,,,,,,,,,
pop,51,701,16000,1,9190,,,,,,,,,,,
lounge,51,1370,64658,1,9435,,,,,,,,,,,
lounge,51,670,25000,1,10500,,,,,,,,,,,
sport,51,2466,113000,1,6600,,,,,,,,,,,
pop,62,3258,84740,1,6900,,,,,,,,,,,
pop,51,2374,81600,1,7600,,,,,,,,,,,
lounge,51,762,8500,1,10800,,,,,,,,,,,
lounge,51,366,14089,1,10900,,,,,,,,,,,
lounge,51,2374,90000,1,7900,,,,,,,,,,,
pop,51,1583,38000,1,8900,,,,,,,,,,,
lounge,51,821,13500,1,10300,,,,,,,,,,,
lounge,51,397,13105,1,10500,,,,,,,,,,,
lounge,51,670,33608,1,10900,,,,,,,,,,,
pop,51,3288,90000,1,6900,,,,,,,,,,,
lounge,51,821,32150,1,9950,,,,,,,,,,,
lounge,51,4018,68000,1,5800,,,,,,,,,,,
lounge,51,2466,127000,1,6300,,,,,,,,,,,
lounge,51,762,13236,2,10300,,,,,,,,,,,
lounge,51,366,20653,2,10500,,,,,,,,,,,
lounge,51,366,10909,2,11000,,,,,,,,,,,
lounge,51,425,15000,2,10950,,,,,,,,,,,
lounge,51,1858,12000,2,10500,,,,,,,,,,,
lounge,51,790,39162,2,9990,,,,,,,,,,,
lounge,51,790,27595,2,10200,,,,,,,,,,,
lounge,51,790,23040,2,8000,,,,,,,,,,,
lounge,51,397,12780,2,10500,,,,,,,,,,,
lounge,51,790,30758,2,9950,,,,,,,,,,,
pop,51,1127,50000,1,8250,,,,,,,,,,,
pop,51,3439,125684,1,4390,,,,,,,,,,,
pop,51,366,22148,1,9500,,,,,,,,,,,
lounge,51,366,71200,1,8900,,,,,,,,,,,
lounge,51,1127,44000,1,9500,,,,,,,,,,,
lounge,51,425,18702,1,11000,,,,,,,,,,,
pop,51,2131,40388,1,8390,,,,,,,,,,,
lounge,73,4658,143000,1,4500,,,,,,,,,,,
lounge,51,790,31650,1,10200,,,,,,,,,,,
lounge,51,670,35000,1,10470,,,,,,,,,,,
pop,62,1066,34464,1,7500,,,,,,,,,,,
lounge,51,670,15214,1,10800,,,,,,,,,,,
lounge,51,4383,135762,1,3390,,,,,,,,,,,
lounge,51,3319,89179,2,7500,,,,,,,,,,,
pop,51,2192,53428,2,6990,,,,,,,,,,,
lounge,51,397,13980,2,9980,,,,,,,,,,,
lounge,51,366,14816,2,11000,,,,,,,,,,,
lounge,51,731,33070,2,10900,,,,,,,,,,,
lounge,51,2374,102600,1,6800,,,,,,,,,,,
pop,51,1827,45000,1,8200,,,,,,,,,,,
pop,66,3957,83000,1,5800,,,,,,,,,,,
lounge,51,701,21000,1,10900,,,,,,,,,,,
lounge,51,2892,70000,1,6900,,,,,,,,,,,
pop,51,4322,120000,1,4900,,,,,,,,,,,
lounge,51,425,15384,1,10850,,,,,,,,,,,
pop,51,2131,40000,1,7300,,,,,,,,,,,
pop,51,1217,58497,1,8900,,,,,,,,,,,
pop,51,4230,156000,3,4250,,,,,,,,,,,
lounge,51,1917,49000,3,7800,,,,,,,,,,,
lounge,51,397,14877,3,9980,,,,,,,,,,,
lounge,51,366,17642,3,11000,,,,,,,,,,,
pop,51,1066,65415,3,7900,,,,,,,,,,,
sport,62,3013,67000,1,7500,,,,,,,,,,,
lounge,51,2101,61400,1,7990,,,,,,,,,,,
pop,51,1066,74000,1,8900,,,,,,,,,,,
lounge,51,701,22000,1,10900,,,,,,,,,,,
lounge,51,3105,119767,1,5800,,,,,,,,,,,
lounge,51,701,10800,1,9850,,,,,,,,,,,
lounge,51,397,18631,1,10850,,,,,,,,,,,
lounge,51,4049,135000,1,5490,,,,,,,,,,,
lounge,51,425,20900,1,10500,,,,,,,,,,,
lounge,51,456,15324,1,10500,,,,,,,,,,,
lounge,51,397,19286,1,9980,,,,,,,,,,,
lounge,51,670,32156,1,10900,,,,,,,,,,,
lounge,51,1247,11000,1,9990,,,,,,,,,,,
lounge,51,1066,66000,1,9000,,,,,,,,,,,
pop,51,3957,148700,1,4900,,,,,,,,,,,
pop,51,2496,99510,1,6500,,,,,,,,,,,
pop,51,701,37950,1,7950,,,,,,,,,,,
lounge,51,456,12600,1,10200,,,,,,,,,,,
lounge,51,397,21886,1,10850,,,,,,,,,,,
pop,51,3896,60000,1,4900,,,,,,,,,,,
lounge,51,2282,50400,1,7900,,,,,,,,,,,
lounge,51,1035,69900,1,9750,,,,,,,,,,,
lounge,51,3347,133000,1,5400,,,,,,,,,,,
lounge,51,397,15465,1,9980,,,,,,,,,,,
pop,51,790,48461,1,8500,,,,,,,,,,,
lounge,51,3957,136000,1,4990,,,,,,,,,,,
lounge,74,4322,170000,1,4600,,,,,,,,,,,
lounge,51,1096,37000,1,9300,,,,,,,,,,,
lounge,51,366,15206,1,10850,,,,,,,,,,,
lounge,51,4018,83000,1,5490,,,,,,,,,,,
lounge,51,366,15000,1,10500,,,,,,,,,,,
lounge,51,762,24700,1,9450,,,,,,,,,,,
lounge,51,821,17600,1,10500,,,,,,,,,,,
lounge,51,456,16043,1,9980,,,,,,,,,,,
pop,51,366,5870,1,10999,,,,,,,,,,,
lounge,51,425,16783,1,9100,,,,,,,,,,,
lounge,51,4474,108400,1,6200,,,,,,,,,,,
lounge,51,3470,78000,1,6000,,,,,,,,,,,
lounge,51,701,42290,1,8400,,,,,,,,,,,
lounge,51,790,37819,1,9700,,,,,,,,,,,
lounge,51,397,17034,1,10950,,,,,,,,,,,
lounge,51,3835,100000,1,5200,,,,,,,,,,,
lounge,51,366,14000,1,10500,,,,,,,,,,,
lounge,51,1155,40700,1,8750,,,,,,,,,,,
pop,51,1521,37500,1,8290,,,,,,,,,,,
lounge,51,456,26526,1,9980,,,,,,,,,,,
lounge,51,425,12275,1,9100,,,,,,,,,,,
lounge,51,701,37083,1,9000,,,,,,,,,,,
lounge,51,2223,60000,1,7700,,,,,,,,,,,
pop,51,2343,95000,1,7900,,,,,,,,,,,
lounge,51,3684,71000,1,6000,,,,,,,,,,,
lounge,51,1096,55851,1,7100,,,,,,,,,,,
lounge,51,1247,22686,1,9390,,,,,,,,,,,
lounge,51,425,20917,1,10850,,,,,,,,,,,
lounge,51,3988,102932,2,5999,,,,,,,,,,,
lounge,51,366,15000,2,10500,,,,,,,,,,,
lounge,51,397,22775,2,9980,,,,,,,,,,,
lounge,51,397,11997,2,9999,,,,,,,,,,,
lounge,51,762,29000,2,10500,,,,,,,,,,,
pop,51,1155,29000,2,10900,,,,,,,,,,,
lounge,51,821,21877,2,10800,,,,,,,,,,,
lounge,51,701,19934,2,8999,,,,,,,,,,,
lounge,51,4108,138000,1,5200,,,,,,,,,,,
lounge,51,456,11314,1,10900,,,,,,,,,,,
lounge,51,425,17375,1,10950,,,,,,,,,,,
pop,51,1066,52125,1,8900,,,,,,,,,,,
lounge,51,366,18000,1,10500,,,,,,,,,,,
lounge,51,2557,81247,1,7500,,,,,,,,,,,
lounge,51,2739,90000,1,6200,,,,,,,,,,,
sport,51,3743,68833,1,5490,,,,,,,,,,,
pop,51,3347,85500,1,5699,,,,,,,,,,,
lounge,51,790,35000,1,10500,,,,,,,,,,,
lounge,51,2313,80000,1,6990,,,,,,,,,,,
lounge,51,762,36448,1,8579,,,,,,,,,,,
sport,51,2009,125000,1,6350,,,,,,,,,,,
pop,51,2769,72000,1,7800,,,,,,,,,,,
lounge,51,1521,46980,1,8600,,,,,,,,,,,
lounge,51,397,16523,1,10850,,,,,,,,,,,
pop,51,2313,19500,1,7900,,,,,,,,,,,
lounge,51,366,17000,1,10500,,,,,,,,,,,
lounge,51,2251,87000,1,5990,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
pop,51,366,11203,1,9900,,,,,,,,,,,
lounge,51,3562,128000,2,4990,,,,,,,,,,,
pop,51,2131,90000,1,6500,,,,,,,,,,,
lounge,51,731,33665,1,9979,,,,,,,,,,,
lounge,51,3804,78000,1,6600,,,,,,,,,,,
lounge,51,701,13100,1,10500,,,,,,,,,,,
lounge,51,1096,64944,1,7100,,,,,,,,,,,
pop,51,2616,122000,1,5900,,,,,,,,,,,
lounge,51,397,18877,1,10850,,,,,,,,,,,
lounge,51,1521,55886,1,8500,,,,,,,,,,,
lounge,51,366,19000,1,10500,,,,,,,,,,,
pop,51,397,17500,1,9800,,,,,,,,,,,
lounge,51,790,17200,1,9800,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
lounge,51,1005,22376,1,10900,,,,,,,,,,,
pop,77,2251,52000,2,8500,,,,,,,,,,,
pop,51,1858,75000,2,9999,,,,,,,,,,,
lounge,51,731,33280,2,9980,,,,,,,,,,,
lounge,51,701,23900,1,9800,,,,,,,,,,,
pop,51,701,40000,1,8000,,,,,,,,,,,
lounge,51,1096,57262,1,7100,,,,,,,,,,,
lounge,51,762,12816,1,10300,,,,,,,,,,,
lounge,51,397,15003,1,10850,,,,,,,,,,,
lounge,51,2435,81631,1,7400,,,,,,,,,,,
lounge,51,366,17000,1,10500,,,,,,,,,,,
pop,51,366,18818,1,8990,,,,,,,,,,,
lounge,51,821,10800,1,9800,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
lounge,51,1035,69900,1,9750,,,,,,,,,,,
lounge,51,3258,155000,1,6500,,,,,,,,,,,
lounge,51,762,36448,1,8580,,,,,,,,,,,
lounge,62,1917,36000,1,9900,,,,,,,,,,,
pop,51,2162,117183,1,6000,,,,,,,,,,,
lounge,62,2282,69000,1,7800,,,,,,,,,,,
lounge,51,456,14000,1,9499,,,,,,,,,,,
lounge,51,1583,29064,1,9500,,,,,,,,,,,
lounge,51,762,41783,1,9450,,,,,,,,,,,
lounge,51,366,16000,1,10500,,,,,,,,,,,
lounge,51,456,13900,1,10900,,,,,,,,,,,
lounge,51,670,16000,1,10450,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
lounge,51,1521,19446,1,10600,,,,,,,,,,,
sport,51,3439,147448,1,4990,,,,,,,,,,,
lounge,51,1096,15000,1,9490,,,,,,,,,,,
lounge,51,731,33665,1,9980,,,,,,,,,,,
lounge,51,397,13988,1,10500,,,,,,,,,,,
lounge,51,456,18400,1,10900,,,,,,,,,,,
lounge,51,670,18560,1,10300,,,,,,,,,,,
lounge,51,397,16218,1,10850,,,,,,,,,,,
lounge,51,790,40298,1,9450,,,,,,,,,,,
lounge,51,366,15000,1,10500,,,,,,,,,,,
lounge,51,456,19900,1,10900,,,,,,,,,,,
lounge,51,1127,13000,1,9500,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
lounge,51,1521,21381,1,10600,,,,,,,,,,,
lounge,51,790,17708,1,8100,,,,,,,,,,,
lounge,51,701,18000,1,10590,,,,,,,,,,,
lounge,51,731,33665,1,9980,,,,,,,,,,,
lounge,51,4383,125000,1,4690,,,,,,,,,,,
lounge,51,456,17600,1,10900,,,,,,,,,,,
pop,51,2374,110000,1,6599,,,,,,,,,,,
lounge,51,2527,95000,1,7500,,,,,,,,,,,
lounge,51,397,15075,1,10850,,,,,,,,,,,
lounge,51,790,45381,1,9450,,,,,,,,,,,
pop,51,762,18600,1,10600,,,,,,,,,,,
lounge,51,456,10500,1,10900,,,,,,,,,,,
lounge,51,2527,114000,1,7950,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
lounge,51,790,15478,1,9900,,,,,,,,,,,
lounge,51,1858,81042,1,8990,,,,,,,,,,,
sport,74,4322,170000,1,4900,,,,,,,,,,,
lounge,51,762,36448,1,8980,,,,,,,,,,,
lounge,51,3347,72000,1,6900,,,,,,,,,,,
lounge,51,456,24500,1,10900,,,,,,,,,,,
lounge,51,3743,50432,1,6200,,,,,,,,,,,
pop,51,1886,119000,1,7490,,,,,,,,,,,
lounge,51,425,16562,1,10950,,,,,,,,,,,
lounge,51,790,38974,1,9450,,,,,,,,,,,
lounge,51,3562,82000,1,5900,,,,,,,,,,,
lounge,51,2313,56600,3,7950,,,,,,,,,,,
lounge,51,701,22794,3,9600,,,,,,,,,,,
lounge,51,578,32057,1,9600,,,,,,,,,,,
lounge,51,790,18156,1,10500,,,,,,,,,,,
pop,51,4018,95156,1,5900,,,,,,,,,,,
lounge,51,4018,113000,1,4400,,,,,,,,,,,
lounge,51,731,29830,1,9980,,,,,,,,,,,
lounge,51,456,14800,1,10900,,,,,,,,,,,
lounge,51,701,17000,1,9900,,,,,,,,,,,
lounge,51,2101,82000,1,6700,,,,,,,,,,,
lounge,51,397,15628,1,10850,,,,,,,,,,,
lounge,51,790,39865,1,9450,,,,,,,,,,,
pop,51,2313,106500,1,6800,,,,,,,,,,,
lounge,51,762,15800,1,9800,,,,,,,,,,,
sport,51,3957,38000,1,5490,,,,,,,,,,,
lounge,51,762,12161,1,10800,,,,,,,,,,,
pop,51,2282,69159,1,9200,,,,,,,,,,,
pop,51,2070,57000,1,7900,,,,,,,,,,,
lounge,51,731,36303,1,9980,,,,,,,,,,,
lounge,51,456,11700,1,10900,,,,,,,,,,,
lounge,51,578,21500,1,9500,,,,,,,,,,,
lounge,51,731,25900,1,8850,,,,,,,,,,,
lounge,51,425,17375,1,10950,,,,,,,,,,,
lounge,51,790,46620,1,9450,,,,,,,,,,,
lounge,51,4200,97000,1,4700,,,,,,,,,,,
pop,51,1005,60879,1,8350,,,,,,,,,,,
pop,51,640,30000,1,8900,,,,,,,,,,,
lounge,51,425,18276,1,11000,,,,,,,,,,,
lounge,51,3500,38431,1,7500,,,,,,,,,,,
lounge,51,3074,103000,1,6900,,,,,,,,,,,
pop,51,1827,47000,2,6990,,,,,,,,,,,
lounge,51,456,17000,2,10900,,,,,,,,,,,
pop,51,3197,120000,2,7900,,,,,,,,,,,
sport,51,3835,129892,2,4490,,,,,,,,,,,
lounge,51,397,18877,2,10850,,,,,,,,,,,
lounge,51,790,41572,2,9450,,,,,,,,,,,
pop,51,882,24626,1,8990,,,,,,,,,,,
lounge,51,1492,50400,1,9500,,,,,,,,,,,
lounge,51,425,20636,1,10650,,,,,,,,,,,
lounge,51,3258,100000,2,6490,,,,,,,,,,,
lounge,51,2101,18205,2,9700,,,,,,,,,,,
pop,51,1797,39000,1,7999,,,,,,,,,,,
pop,51,670,9000,1,11090,,,,,,,,,,,
lounge,51,456,29850,1,10900,,,,,,,,,,,
lounge,51,4049,104300,1,6800,,,,,,,,,,,
lounge,51,456,13375,1,10800,,,,,,,,,,,
lounge,51,397,15003,1,10850,,,,,,,,,,,
pop,51,790,38718,1,10450,,,,,,,,,,,
lounge,51,397,17488,1,10200,,,,,,,,,,,
lounge,51,425,24281,1,10800,,,,,,,,,,,
lounge,51,701,25076,1,10450,,,,,,,,,,,
lounge,51,2527,25191,1,8800,,,,,,,,,,,
lounge,51,1155,38197,1,8899,,,,,,,,,,,
pop,51,1461,87066,1,7450,,,,,,,,,,,
lounge,51,456,21200,1,10900,,,,,,,,,,,
lounge,51,3378,25800,1,7400,,,,,,,,,,,
lounge,51,456,11186,1,10800,,,,,,,,,,,
lounge,51,701,45550,1,9590,,,,,,,,,,,
lounge,51,670,21971,1,9450,,,,,,,,,,,
lounge,51,790,42000,1,8900,,,,,,,,,,,
lounge,51,762,20000,1,9800,,,,,,,,,,,
lounge,51,487,56779,1,10500,,,,,,,,,,,
