Member_number,Date,itemDescription
4867,2015-01-03,salty snack
1014,2015-01-04,canned beer
1014,2015-01-04,cookware
1047,2015-01-04,curd
1047,2015-01-04,soda
1104,2015-01-04,yogurt
1104,2015-01-04,other vegetables
1104,2015-01-04,rolls/buns
1104,2015-01-04,herbs
1183,2015-01-04,sausage
1183,2015-01-04,domestic eggs
1575,2015-01-04,yogurt
1575,2015-01-04,whole milk
1749,2015-01-04,frankfurter
1749,2015-01-04,specialty cheese
1749,2015-01-04,soft cheese
1992,2015-01-04,beef
1992,2015-01-04,beef
2018,2015-01-04,frozen meals
2018,2015-01-04,rolls/buns
2018,2015-01-04,canned beer
2018,2015-01-04,coffee
2018,2015-01-04,soda
2455,2015-01-04,sausage
2455,2015-01-04,cream cheese
2884,2015-01-04,frozen vegetables
2884,2015-01-04,napkins
2953,2015-01-04,packaged fruit/vegetables
2953,2015-01-04,frozen fruits
2953,2015-01-04,rolls/buns
3079,2015-01-04,specialty bar
3079,2015-01-04,chicken
3429,2015-01-04,shopping bags
3429,2015-01-04,curd
3429,2015-01-04,hard cheese
3438,2015-01-04,sausage
3438,2015-01-04,waffles
3663,2015-01-04,meat spreads
3663,2015-01-04,bottled beer
3762,2015-01-04,canned beer
3762,2015-01-04,dessert
3762,2015-01-04,frozen meals
3794,2015-01-04,citrus fruit
3794,2015-01-04,other vegetables
4157,2015-01-04,hamburger meat
4157,2015-01-04,root vegetables
4157,2015-01-04,other vegetables
4157,2015-01-04,whole milk
4221,2015-01-04,sausage
4221,2015-01-04,pet care
4455,2015-01-04,citrus fruit
4455,2015-01-04,soda
4601,2015-01-04,pip fruit
4601,2015-01-04,salty snack
1536,2015-01-05,frankfurter
1536,2015-01-05,canned beer
1536,2015-01-05,pastry
1536,2015-01-05,yogurt
1783,2015-01-05,other vegetables
1783,2015-01-05,pip fruit
2144,2015-01-05,onions
2144,2015-01-05,other vegetables
2274,2015-01-05,citrus fruit
2274,2015-01-05,rolls/buns
2305,2015-01-05,canned beer
2305,2015-01-05,cream cheese
2500,2015-01-05,onions
2500,2015-01-05,grapes
2507,2015-01-05,canned beer
2507,2015-01-05,bottled water
2507,2015-01-05,long life bakery product
2552,2015-01-05,whole milk
2552,2015-01-05,tropical fruit
2552,2015-01-05,chocolate
2655,2015-01-05,sausage
2655,2015-01-05,pastry
2655,2015-01-05,shopping bags
2874,2015-01-05,sausage
2874,2015-01-05,hygiene articles
2874,2015-01-05,ice cream
2985,2015-01-05,tropical fruit
2985,2015-01-05,chicken
2985,2015-01-05,soda
2985,2015-01-05,soda
3043,2015-01-05,beef
3043,2015-01-05,soda
3044,2015-01-05,sausage
3044,2015-01-05,bottled water
3044,2015-01-05,brown bread
3077,2015-01-05,chicken
3077,2015-01-05,whole milk
3077,2015-01-05,vinegar
3077,2015-01-05,shopping bags
3154,2015-01-05,rolls/buns
3154,2015-01-05,shopping bags
4059,2015-01-05,frankfurter
4059,2015-01-05,whole milk
4075,2015-01-05,turkey
4075,2015-01-05,bottled water
4324,2015-01-05,sausage
4324,2015-01-05,sausage
4324,2015-01-05,pastry
4324,2015-01-05,tropical fruit
4324,2015-01-05,whole milk
4324,2015-01-05,white wine
4324,2015-01-05,sweet spreads
4324,2015-01-05,whole milk
4335,2015-01-05,pot plants
4335,2015-01-05,other vegetables
4608,2015-01-05,whole milk
4608,2015-01-05,hamburger meat
4608,2015-01-05,canned beer
4608,2015-01-05,fruit/vegetable juice
4636,2015-01-05,yogurt
4636,2015-01-05,sauces
4636,2015-01-05,specialty chocolate
4695,2015-01-05,root vegetables
4695,2015-01-05,yogurt
4695,2015-01-05,soda
4695,2015-01-05,shopping bags
4695,2015-01-05,oil
4695,2015-01-05,shopping bags
1023,2015-01-06,whipped/sour cream
1023,2015-01-06,root vegetables
1023,2015-01-06,rolls/buns
1023,2015-01-06,packaged fruit/vegetables
1500,2015-01-06,rolls/buns
1500,2015-01-06,frankfurter
1500,2015-01-06,soda
1500,2015-01-06,canned fish
2049,2015-01-06,pork
2049,2015-01-06,grapes
2226,2015-01-06,hamburger meat
2226,2015-01-06,yogurt
2351,2015-01-06,pip fruit
2351,2015-01-06,rolls/buns
2563,2015-01-06,frozen meals
2563,2015-01-06,other vegetables
2563,2015-01-06,bottled beer
2729,2015-01-06,citrus fruit
2729,2015-01-06,red/blush wine
2831,2015-01-06,frankfurter
2831,2015-01-06,frozen dessert
2989,2015-01-06,beef
2989,2015-01-06,pip fruit
3365,2015-01-06,pastry
3365,2015-01-06,soda
3375,2015-01-06,pork
3375,2015-01-06,citrus fruit
3402,2015-01-06,curd
3402,2015-01-06,other vegetables
3402,2015-01-06,shopping bags
3587,2015-01-06,liquor
3587,2015-01-06,sugar
3686,2015-01-06,whole milk
3686,2015-01-06,whole milk
3835,2015-01-06,tropical fruit
3835,2015-01-06,tropical fruit
3835,2015-01-06,soda
3835,2015-01-06,salty snack
3912,2015-01-06,berries
3912,2015-01-06,rolls/buns
3912,2015-01-06,pastry
4117,2015-01-06,brown bread
4117,2015-01-06,bottled beer
4405,2015-01-06,soda
4405,2015-01-06,bottled water
4405,2015-01-06,whole milk
4405,2015-01-06,other vegetables
4405,2015-01-06,hygiene articles
4448,2015-01-06,frankfurter
4448,2015-01-06,tropical fruit
4494,2015-01-06,ice cream
4494,2015-01-06,rolls/buns
1094,2015-01-07,sausage
1094,2015-01-07,tropical fruit
1094,2015-01-07,misc. beverages
1094,2015-01-07,root vegetables
1301,2015-01-07,sausage
1301,2015-01-07,soda
1301,2015-01-07,frozen vegetables
1342,2015-01-07,tropical fruit
1342,2015-01-07,frozen vegetables
1342,2015-01-07,rice
1585,2015-01-07,other vegetables
1585,2015-01-07,yogurt
1943,2015-01-07,hamburger meat
1943,2015-01-07,canned beer
1943,2015-01-07,other vegetables
1943,2015-01-07,canned fruit
2101,2015-01-07,root vegetables
2101,2015-01-07,domestic eggs
2101,2015-01-07,chocolate
2193,2015-01-07,pastry
2193,2015-01-07,liquor (appetizer)
2193,2015-01-07,sliced cheese
2220,2015-01-07,tropical fruit
2220,2015-01-07,pastry
2267,2015-01-07,whole milk
2267,2015-01-07,long life bakery product
2380,2015-01-07,sausage
2380,2015-01-07,bottled beer
2695,2015-01-07,whole milk
2695,2015-01-07,bottled beer
2760,2015-01-07,sausage
2760,2015-01-07,fish
2775,2015-01-07,tropical fruit
2775,2015-01-07,chicken
3316,2015-01-07,cream cheese
3316,2015-01-07,cleaner
3363,2015-01-07,rolls/buns
3363,2015-01-07,herbs
4148,2015-01-07,meat
4148,2015-01-07,whole milk
4149,2015-01-07,citrus fruit
4149,2015-01-07,other vegetables
4320,2015-01-07,yogurt
4320,2015-01-07,candy
4320,2015-01-07,canned beer
4320,2015-01-07,chocolate
4544,2015-01-07,sugar
4544,2015-01-07,whole milk
4544,2015-01-07,ketchup
4911,2015-01-07,pork
4911,2015-01-07,UHT-milk
4911,2015-01-07,rolls/buns
4911,2015-01-07,cleaner
4911,2015-01-07,newspapers
4987,2015-01-07,condensed milk
4987,2015-01-07,waffles
4987,2015-01-07,domestic eggs
1306,2015-01-08,yogurt
1306,2015-01-08,frozen vegetables
1900,2015-01-08,other vegetables
1900,2015-01-08,soda
2004,2015-01-08,beef
2004,2015-01-08,other vegetables
2222,2015-01-08,yogurt
2222,2015-01-08,dental care
2398,2015-01-08,tropical fruit
2398,2015-01-08,soda
2398,2015-01-08,oil
2427,2015-01-08,other vegetables
2427,2015-01-08,butter
2427,2015-01-08,whipped/sour cream
2462,2015-01-08,pork
2462,2015-01-08,pastry
2462,2015-01-08,candy
2532,2015-01-08,dessert
2532,2015-01-08,sugar
2715,2015-01-08,rolls/buns
2715,2015-01-08,male cosmetics
2814,2015-01-08,pip fruit
2814,2015-01-08,yogurt
2888,2015-01-08,flour
2888,2015-01-08,brown bread
2996,2015-01-08,domestic eggs
2996,2015-01-08,other vegetables
3255,2015-01-08,domestic eggs
3255,2015-01-08,whole milk
3599,2015-01-08,meat
3599,2015-01-08,citrus fruit
3914,2015-01-08,canned beer
3914,2015-01-08,cake bar
4170,2015-01-08,soda
4170,2015-01-08,rolls/buns
4294,2015-01-08,other vegetables
4294,2015-01-08,frozen vegetables
4294,2015-01-08,cling film/bags
4294,2015-01-08,bottled water
4691,2015-01-08,soda
4691,2015-01-08,shopping bags
4691,2015-01-08,other vegetables
4691,2015-01-08,rolls/buns
4825,2015-01-08,beef
4825,2015-01-08,root vegetables
1188,2015-01-09,whole milk
1188,2015-01-09,rolls/buns
1188,2015-01-09,soda
1192,2015-01-09,butter
1192,2015-01-09,seasonal products
1192,2015-01-09,fruit/vegetable juice
1322,2015-01-09,chicken
1322,2015-01-09,meat
1322,2015-01-09,chewing gum
1322,2015-01-09,bottled beer
1322,2015-01-09,baking powder
1322,2015-01-09,shopping bags
1457,2015-01-09,yogurt
1457,2015-01-09,butter milk
1495,2015-01-09,root vegetables
1495,2015-01-09,frankfurter
1495,2015-01-09,specialty bar
1495,2015-01-09,packaged fruit/vegetables
1495,2015-01-09,hygiene articles
1831,2015-01-09,pork
1831,2015-01-09,whole milk
1960,2015-01-09,chicken
1960,2015-01-09,rolls/buns
1960,2015-01-09,yogurt
1960,2015-01-09,pastry
2194,2015-01-09,soda
2194,2015-01-09,UHT-milk
2194,2015-01-09,dessert
2194,2015-01-09,napkins
2613,2015-01-09,soups
2613,2015-01-09,specialty bar
2613,2015-01-09,soda
2613,2015-01-09,whipped/sour cream
2868,2015-01-09,salt
2868,2015-01-09,semi-finished bread
2935,2015-01-09,other vegetables
2935,2015-01-09,canned beer
2935,2015-01-09,newspapers
3046,2015-01-09,sausage
3046,2015-01-09,whole milk
3590,2015-01-09,tropical fruit
3590,2015-01-09,citrus fruit
4098,2015-01-09,soda
4098,2015-01-09,pip fruit
4579,2015-01-09,pip fruit
4579,2015-01-09,frankfurter
4579,2015-01-09,whole milk
4579,2015-01-09,cream cheese
4697,2015-01-09,other vegetables
4697,2015-01-09,whole milk
4757,2015-01-09,soda
4757,2015-01-09,herbs
4757,2015-01-09,canned beer
4757,2015-01-09,soda
4757,2015-01-09,seasonal products
4757,2015-01-09,dishes
4757,2015-01-09,yogurt
4757,2015-01-09,mayonnaise
4757,2015-01-09,flower (seeds)
4891,2015-01-09,soda
4891,2015-01-09,butter
4891,2015-01-09,rolls/buns
4892,2015-01-09,other vegetables
4892,2015-01-09,citrus fruit
4892,2015-01-09,pork
4892,2015-01-09,frozen vegetables
4892,2015-01-09,cat food
4892,2015-01-09,curd
4892,2015-01-09,spices
4892,2015-01-09,soda
4951,2015-01-09,other vegetables
4951,2015-01-09,whole milk
1043,2015-01-10,citrus fruit
1043,2015-01-10,rolls/buns
1043,2015-01-10,whole milk
1214,2015-01-10,meat
1214,2015-01-10,chicken
1214,2015-01-10,yogurt
1214,2015-01-10,pip fruit
1319,2015-01-10,misc. beverages
1319,2015-01-10,rice
1319,2015-01-10,soda
1427,2015-01-10,chicken
1427,2015-01-10,soda
1427,2015-01-10,frozen meals
1878,2015-01-10,sausage
1878,2015-01-10,soda
1878,2015-01-10,candy
1909,2015-01-10,sausage
1909,2015-01-10,sliced cheese
1909,2015-01-10,salty snack
1968,2015-01-10,zwieback
1968,2015-01-10,tropical fruit
3337,2015-01-10,bottled beer
3337,2015-01-10,yogurt
3953,2015-01-10,pork
3953,2015-01-10,berries
4015,2015-01-10,curd
4015,2015-01-10,whole milk
4068,2015-01-10,frankfurter
4068,2015-01-10,yogurt
4556,2015-01-10,pip fruit
4556,2015-01-10,canned beer
4883,2015-01-10,berries
4883,2015-01-10,newspapers
4981,2015-01-10,frankfurter
4981,2015-01-10,margarine
4981,2015-01-10,whole milk
4981,2015-01-10,soda
4981,2015-01-10,margarine
4981,2015-01-10,brown bread
4981,2015-01-10,margarine
4981,2015-01-10,frozen vegetables
1514,2015-01-11,root vegetables
1514,2015-01-11,waffles
1850,2015-01-11,tropical fruit
1850,2015-01-11,hamburger meat
1893,2015-01-11,yogurt
1893,2015-01-11,fruit/vegetable juice
2194,2015-01-11,other vegetables
2194,2015-01-11,pip fruit
2276,2015-01-11,soda
2276,2015-01-11,pork
2280,2015-01-11,tropical fruit
2280,2015-01-11,organic products
2684,2015-01-11,citrus fruit
2684,2015-01-11,rolls/buns
2684,2015-01-11,salt
2689,2015-01-11,bottled beer
2689,2015-01-11,whole milk
2761,2015-01-11,pork
2761,2015-01-11,semi-finished bread
2781,2015-01-11,rolls/buns
2781,2015-01-11,yogurt
2986,2015-01-11,sausage
2986,2015-01-11,other vegetables
2986,2015-01-11,chicken
2986,2015-01-11,waffles
2986,2015-01-11,root vegetables
2986,2015-01-11,bottled beer
2986,2015-01-11,butter
2986,2015-01-11,whipped/sour cream
3038,2015-01-11,rolls/buns
3038,2015-01-11,waffles
3165,2015-01-11,rolls/buns
3165,2015-01-11,tropical fruit
3629,2015-01-11,frankfurter
3629,2015-01-11,detergent
3629,2015-01-11,chocolate
3877,2015-01-11,pork
3877,2015-01-11,whipped/sour cream
3890,2015-01-11,sausage
3890,2015-01-11,rolls/buns
3966,2015-01-11,tropical fruit
3966,2015-01-11,whole milk
4218,2015-01-11,ham
4218,2015-01-11,berries
4231,2015-01-11,chicken
4231,2015-01-11,salty snack
4316,2015-01-11,other vegetables
4316,2015-01-11,other vegetables
4316,2015-01-11,butter
4515,2015-01-11,whole milk
4515,2015-01-11,beef
4742,2015-01-11,ham
4742,2015-01-11,meat
4811,2015-01-11,butter milk
4811,2015-01-11,pet care
4818,2015-01-11,salt
4818,2015-01-11,canned beer
4818,2015-01-11,roll products
1667,2015-01-12,beef
1667,2015-01-12,onions
1977,2015-01-12,whole milk
1977,2015-01-12,beef
1977,2015-01-12,canned beer
2021,2015-01-12,meat
2021,2015-01-12,whole milk
2264,2015-01-12,sparkling wine
2264,2015-01-12,tropical fruit
2290,2015-01-12,whole milk
2290,2015-01-12,hamburger meat
2290,2015-01-12,newspapers
2443,2015-01-12,frankfurter
2443,2015-01-12,root vegetables
2443,2015-01-12,pastry
2443,2015-01-12,napkins
2443,2015-01-12,long life bakery product
2469,2015-01-12,pork
2469,2015-01-12,pork
2469,2015-01-12,whole milk
2469,2015-01-12,pasta
2523,2015-01-12,yogurt
2523,2015-01-12,dog food
2523,2015-01-12,semi-finished bread
2523,2015-01-12,napkins
3318,2015-01-12,other vegetables
3318,2015-01-12,cat food
3356,2015-01-12,meat
3356,2015-01-12,whole milk
3356,2015-01-12,processed cheese
3356,2015-01-12,butter
3774,2015-01-12,bottled beer
3774,2015-01-12,rolls/buns
4035,2015-01-12,sausage
4035,2015-01-12,sausage
4035,2015-01-12,canned beer
4035,2015-01-12,spices
4667,2015-01-12,root vegetables
4667,2015-01-12,other vegetables
4757,2015-01-12,frozen meals
4757,2015-01-12,yogurt
1454,2015-01-13,meat
1454,2015-01-13,tropical fruit
1454,2015-01-13,rolls/buns
1460,2015-01-13,ham
1460,2015-01-13,other vegetables
1460,2015-01-13,napkins
1815,2015-01-13,sausage
1815,2015-01-13,bottled water
2210,2015-01-13,frankfurter
2210,2015-01-13,specialty bar
2210,2015-01-13,whole milk
2210,2015-01-13,rice
2210,2015-01-13,dishes
2335,2015-01-13,whole milk
2335,2015-01-13,other vegetables
2335,2015-01-13,ice cream
2381,2015-01-13,sausage
2381,2015-01-13,UHT-milk
2479,2015-01-13,whole milk
2479,2015-01-13,newspapers
3221,2015-01-13,curd
3221,2015-01-13,bottled beer
3221,2015-01-13,hamburger meat
3221,2015-01-13,sweet spreads
3247,2015-01-13,UHT-milk
3247,2015-01-13,root vegetables
3247,2015-01-13,rolls/buns
3247,2015-01-13,rolls/buns
3247,2015-01-13,spread cheese
3247,2015-01-13,misc. beverages
3247,2015-01-13,sugar
3264,2015-01-13,sausage
3264,2015-01-13,dessert
3378,2015-01-13,ham
3378,2015-01-13,canned beer
3499,2015-01-13,yogurt
3499,2015-01-13,napkins
3758,2015-01-13,whole milk
3758,2015-01-13,coffee
3758,2015-01-13,whole milk
3770,2015-01-13,sausage
3770,2015-01-13,long life bakery product
3770,2015-01-13,curd
4088,2015-01-13,chicken
4088,2015-01-13,pip fruit
4088,2015-01-13,curd
4320,2015-01-13,other vegetables
4320,2015-01-13,popcorn
4320,2015-01-13,butter
4418,2015-01-13,ham
4418,2015-01-13,processed cheese
4687,2015-01-13,bottled water
4687,2015-01-13,fruit/vegetable juice
4687,2015-01-13,cat food
1088,2015-01-14,yogurt
1088,2015-01-14,berries
1120,2015-01-14,soda
1120,2015-01-14,UHT-milk
1120,2015-01-14,newspapers
1120,2015-01-14,white bread
1127,2015-01-14,frankfurter
1127,2015-01-14,rolls/buns
1127,2015-01-14,shopping bags
1127,2015-01-14,margarine
1148,2015-01-14,pork
1148,2015-01-14,yogurt
1291,2015-01-14,tropical fruit
1291,2015-01-14,citrus fruit
1291,2015-01-14,domestic eggs
1291,2015-01-14,rolls/buns
1420,2015-01-14,other vegetables
1420,2015-01-14,salty snack
1420,2015-01-14,syrup
1420,2015-01-14,newspapers
1420,2015-01-14,oil
1435,2015-01-14,pork
1435,2015-01-14,canned beer
1435,2015-01-14,prosecco
1435,2015-01-14,fruit/vegetable juice
1535,2015-01-14,shopping bags
1535,2015-01-14,soda
1551,2015-01-14,soda
1551,2015-01-14,frozen fish
1551,2015-01-14,rolls/buns
1702,2015-01-14,whole milk
1702,2015-01-14,bottled beer
1943,2015-01-14,frankfurter
1943,2015-01-14,chicken
1943,2015-01-14,cocoa drinks
1943,2015-01-14,onions
1943,2015-01-14,whole milk
1943,2015-01-14,UHT-milk
1943,2015-01-14,canned fish
1943,2015-01-14,bottled beer
2370,2015-01-14,root vegetables
2370,2015-01-14,bottled beer
2370,2015-01-14,fruit/vegetable juice
2525,2015-01-14,whole milk
2525,2015-01-14,soda
2525,2015-01-14,shopping bags
3120,2015-01-14,bottled water
3120,2015-01-14,white bread
3214,2015-01-14,tropical fruit
3214,2015-01-14,whipped/sour cream
3214,2015-01-14,canned vegetables
3230,2015-01-14,other vegetables
3230,2015-01-14,roll products
3248,2015-01-14,chicken
3248,2015-01-14,root vegetables
3354,2015-01-14,citrus fruit
3354,2015-01-14,pastry
3354,2015-01-14,other vegetables
3354,2015-01-14,pastry
3471,2015-01-14,frankfurter
3471,2015-01-14,hygiene articles
3471,2015-01-14,rolls/buns
4031,2015-01-14,root vegetables
4031,2015-01-14,other vegetables
4427,2015-01-14,tropical fruit
4427,2015-01-14,sausage
4427,2015-01-14,root vegetables
4427,2015-01-14,spread cheese
4657,2015-01-14,sausage
4657,2015-01-14,yogurt
1130,2015-01-15,tropical fruit
1130,2015-01-15,cream cheese
1130,2015-01-15,cream cheese
1171,2015-01-15,specialty chocolate
1171,2015-01-15,beverages
1363,2015-01-15,bottled beer
1363,2015-01-15,hard cheese
1395,2015-01-15,hard cheese
1395,2015-01-15,meat
1395,2015-01-15,beverages
1395,2015-01-15,curd
1395,2015-01-15,fruit/vegetable juice
2232,2015-01-15,root vegetables
2232,2015-01-15,specialty chocolate
2232,2015-01-15,whisky
2401,2015-01-15,whole milk
2401,2015-01-15,white bread
3166,2015-01-15,pip fruit
3166,2015-01-15,waffles
3166,2015-01-15,cat food
3465,2015-01-15,chicken
3465,2015-01-15,frozen vegetables
3465,2015-01-15,candles
3483,2015-01-15,frozen vegetables
3483,2015-01-15,chicken
4183,2015-01-15,salty snack
4183,2015-01-15,whole milk
4183,2015-01-15,domestic eggs
4183,2015-01-15,shopping bags
4409,2015-01-15,UHT-milk
4409,2015-01-15,brown bread
4409,2015-01-15,whole milk
4409,2015-01-15,ice cream
4676,2015-01-15,sausage
4676,2015-01-15,sausage
4676,2015-01-15,frankfurter
4676,2015-01-15,sausage
4676,2015-01-15,whole milk
4676,2015-01-15,other vegetables
4676,2015-01-15,hygiene articles
4676,2015-01-15,shopping bags
4676,2015-01-15,shopping bags
4683,2015-01-15,frankfurter
4683,2015-01-15,tropical fruit
4778,2015-01-15,meat
4778,2015-01-15,hamburger meat
4941,2015-01-15,rolls/buns
4941,2015-01-15,canned beer
4941,2015-01-15,bottled beer
4941,2015-01-15,ham
4941,2015-01-15,hamburger meat
4941,2015-01-15,pickled vegetables
4941,2015-01-15,salty snack
4941,2015-01-15,domestic eggs
4941,2015-01-15,soda
1144,2015-01-16,chicken
1144,2015-01-16,domestic eggs
1144,2015-01-16,white bread
1197,2015-01-16,sausage
1197,2015-01-16,chocolate
1335,2015-01-16,frankfurter
1335,2015-01-16,coffee
1404,2015-01-16,ice cream
1404,2015-01-16,canned beer
1404,2015-01-16,semi-finished bread
1634,2015-01-16,brown bread
1634,2015-01-16,yogurt
1830,2015-01-16,ham
1830,2015-01-16,other vegetables
2318,2015-01-16,other vegetables
2318,2015-01-16,citrus fruit
2318,2015-01-16,root vegetables
2318,2015-01-16,whipped/sour cream
2632,2015-01-16,frozen meals
2632,2015-01-16,rolls/buns
2632,2015-01-16,butter
2632,2015-01-16,fruit/vegetable juice
3042,2015-01-16,pork
3042,2015-01-16,frozen potato products
3042,2015-01-16,curd cheese
3410,2015-01-16,whole milk
3410,2015-01-16,spread cheese
3581,2015-01-16,sausage
3581,2015-01-16,whole milk
3581,2015-01-16,tropical fruit
3581,2015-01-16,light bulbs
3581,2015-01-16,yogurt
3581,2015-01-16,rolls/buns
3581,2015-01-16,liquor (appetizer)
3649,2015-01-16,canned beer
3649,2015-01-16,grapes
3649,2015-01-16,bottled beer
3649,2015-01-16,yogurt
3768,2015-01-16,pork
3768,2015-01-16,curd
3940,2015-01-16,beef
3940,2015-01-16,semi-finished bread
4185,2015-01-16,pip fruit
4185,2015-01-16,curd
4185,2015-01-16,coffee
4185,2015-01-16,rolls/buns
4351,2015-01-16,bottled beer
4351,2015-01-16,whole milk
4351,2015-01-16,tropical fruit
4351,2015-01-16,whole milk
4351,2015-01-16,house keeping products
4354,2015-01-16,beverages
4354,2015-01-16,oil
4675,2015-01-16,yogurt
4675,2015-01-16,rolls/buns
4883,2015-01-16,other vegetables
4883,2015-01-16,frozen fish
1481,2015-01-17,yogurt
1481,2015-01-17,pip fruit
2271,2015-01-17,dog food
2271,2015-01-17,white bread
2472,2015-01-17,liver loaf
2472,2015-01-17,processed cheese
2672,2015-01-17,frozen meals
2672,2015-01-17,sausage
2672,2015-01-17,pastry
2672,2015-01-17,yogurt
2887,2015-01-17,tropical fruit
2887,2015-01-17,whole milk
3073,2015-01-17,berries
3073,2015-01-17,nut snack
3073,2015-01-17,sliced cheese
3101,2015-01-17,chicken
3101,2015-01-17,cat food
3170,2015-01-17,beef
3170,2015-01-17,roll products
3170,2015-01-17,root vegetables
3170,2015-01-17,chicken
3170,2015-01-17,waffles
3170,2015-01-17,male cosmetics
3170,2015-01-17,grapes
3170,2015-01-17,brown bread
3176,2015-01-17,root vegetables
3176,2015-01-17,citrus fruit
3205,2015-01-17,pork
3205,2015-01-17,pip fruit
3310,2015-01-17,canned beer
3310,2015-01-17,yogurt
3669,2015-01-17,pork
3669,2015-01-17,white wine
3669,2015-01-17,margarine
3795,2015-01-17,bottled beer
