satisfaction,Gender,Age,Customer_Type,Class,Flight_Distance,Seat_comfort,Food_and_drink,Inflight_wifi_service,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
satisfied,Male,31.0,Loyal Customer,Eco,2310.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,4.0,5.0,5.0
satisfied,Female,14.0,Loyal Customer,Eco,968.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,3.0,0.0,0.0
satisfied,Female,9.0,Loyal Customer,Eco,1556.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,0.0,19.0
satisfied,Female,62.0,Loyal Customer,Eco,713.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,53.0,Loyal Customer,Eco,1750.0,3.0,0.0,3.0,0.0,5.0,5.0,4.0,5.0,0.0,0.0
satisfied,Male,52.0,Loyal Customer,Eco,1704.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,25.0,35.0
satisfied,Female,52.0,Loyal Customer,Eco,1150.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0
dissatisfied,Male,27.0,Loyal Customer,Eco,2016.0,1.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,0.0,24.0
satisfied,Female,63.0,Loyal Customer,Eco,340.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,0.0,4.0
dissatisfied,Male,29.0,Loyal Customer,Eco,2092.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,0.0,0.0
satisfied,Female,13.0,Loyal Customer,Eco,1627.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,0.0,6.0
satisfied,Female,40.0,Loyal Customer,Eco,1990.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,118.0,98.0
satisfied,Female,49.0,Loyal Customer,Eco,368.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,11.0,20.0
dissatisfied,Male,22.0,Loyal Customer,Eco,1557.0,3.0,3.0,2.0,3.0,1.0,5.0,3.0,5.0,31.0,11.0
dissatisfied,Male,16.0,Loyal Customer,Eco,1477.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,0.0,0.0
dissatisfied,Male,54.0,Loyal Customer,Eco,1817.0,4.0,4.0,1.0,4.0,1.0,5.0,3.0,4.0,0.0,0.0
satisfied,Male,17.0,Loyal Customer,Eco,2190.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,27.0,21.0
satisfied,Female,9.0,Loyal Customer,Eco,3864.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,54.0,Loyal Customer,Eco,1650.0,3.0,3.0,1.0,3.0,5.0,3.0,2.0,4.0,0.0,0.0
satisfied,Female,62.0,Loyal Customer,Eco,1586.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0
satisfied,Female,40.0,Loyal Customer,Eco,2934.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,12.0,0.0
satisfied,Female,21.0,Loyal Customer,Eco,1846.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,8.0,0.0
satisfied,Male,40.0,Loyal Customer,Eco,3122.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,0.0,4.0
dissatisfied,Male,12.0,Loyal Customer,Eco,2220.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0
satisfied,Female,30.0,Loyal Customer,Eco,2064.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,13.0
dissatisfied,Male,60.0,Loyal Customer,Eco,1133.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,57.0,43.0
dissatisfied,Male,32.0,Loyal Customer,Eco,2578.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,21.0,0.0
dissatisfied,Male,29.0,Loyal Customer,Eco,2467.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,0.0,20.0
satisfied,Female,66.0,Loyal Customer,Eco,725.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,30.0,27.0
satisfied,Female,66.0,Loyal Customer,Eco,73.0,4.0,0.0,4.0,5.0,3.0,0.0,3.0,3.0,31.0,38.0
satisfied,Female,15.0,Loyal Customer,Eco,2481.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,0.0
dissatisfied,Male,62.0,Loyal Customer,Eco Plus,1527.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0
satisfied,Female,35.0,Loyal Customer,Business,466.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,84.0,69.0
dissatisfied,Male,39.0,Loyal Customer,Eco,1458.0,3.0,1.0,5.0,1.0,3.0,5.0,1.0,5.0,0.0,0.0
dissatisfied,Female,58.0,Loyal Customer,Eco,1308.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0
dissatisfied,Male,59.0,Loyal Customer,Eco,1818.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,25.0,26.0
dissatisfied,Male,57.0,Loyal Customer,Eco,2567.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,0.0,0.0
dissatisfied,Male,36.0,Loyal Customer,Eco,1803.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0,5.0,54.0,57.0
satisfied,Female,64.0,Loyal Customer,Eco,325.0,1.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,31.0,19.0
dissatisfied,Male,35.0,Loyal Customer,Eco Plus,1815.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,0.0,0.0
satisfied,Female,31.0,Loyal Customer,Eco,3009.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,6.0,0.0
satisfied,Female,22.0,Loyal Customer,Eco,2678.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,9.0,4.0
satisfied,Female,15.0,Loyal Customer,Eco,1544.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,70.0,Loyal Customer,Eco,1743.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0
dissatisfied,Male,64.0,Loyal Customer,Eco,2220.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,0.0,0.0
dissatisfied,Male,38.0,Loyal Customer,Eco Plus,1373.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0
satisfied,Female,16.0,Loyal Customer,Eco,1838.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,2.0,0.0
satisfied,Female,38.0,Loyal Customer,Eco,3277.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,0.0,6.0
dissatisfied,Female,51.0,Loyal Customer,Eco,2287.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,197.0,205.0
dissatisfied,Male,69.0,Loyal Customer,Eco,1190.0,3.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,0.0,0.0
dissatisfied,Male,12.0,Loyal Customer,Eco,1239.0,1.0,1.0,4.0,1.0,3.0,4.0,5.0,1.0,0.0,0.0
dissatisfied,Female,17.0,Loyal Customer,Eco,1914.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,84.0,65.0
dissatisfied,Male,61.0,Loyal Customer,Eco Plus,2182.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,0.0,0.0
satisfied,Female,13.0,Loyal Customer,Eco Plus,1372.0,0.0,0.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0,3.0
dissatisfied,Female,34.0,Loyal Customer,Eco,3845.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,2.0,100.0,null
satisfied,Female,24.0,Loyal Customer,Eco,2621.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,37.0,30.0
dissatisfied,Male,28.0,Loyal Customer,Eco Plus,1579.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,15.0
satisfied,Female,49.0,Loyal Customer,Eco,930.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,62.0,Loyal Customer,Eco,233.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,32.0,Loyal Customer,Eco,1910.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,12.0,0.0
dissatisfied,Male,36.0,Loyal Customer,Eco,1484.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0
dissatisfied,Male,29.0,Loyal Customer,Eco,2245.0,2.0,2.0,5.0,2.0,4.0,3.0,5.0,4.0,0.0,10.0
dissatisfied,Female,28.0,Loyal Customer,Eco,2489.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,266.0,281.0
dissatisfied,Female,55.0,Loyal Customer,Business,1031.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0
satisfied,Female,15.0,Loyal Customer,Eco,2138.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0
satisfied,Female,68.0,Loyal Customer,Eco,1903.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,0.0,1.0
dissatisfied,Female,8.0,Loyal Customer,Eco,3430.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,36.0,38.0
satisfied,Female,45.0,Loyal Customer,Eco,472.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0
satisfied,Male,19.0,Loyal Customer,Eco,1646.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0
satisfied,Female,24.0,Loyal Customer,Eco,2299.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,45.0,Loyal Customer,Eco Plus,2517.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,26.0,Loyal Customer,Eco Plus,2337.0,3.0,3.0,1.0,3.0,3.0,5.0,4.0,5.0,74.0,62.0
dissatisfied,Male,35.0,Loyal Customer,Eco,2767.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,0.0,0.0
dissatisfied,Male,47.0,Loyal Customer,Eco,2215.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,14.0
dissatisfied,Male,40.0,Loyal Customer,Eco,1914.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0
dissatisfied,Male,58.0,Loyal Customer,Eco,1466.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,0.0,0.0
dissatisfied,Female,47.0,Loyal Customer,Eco,2419.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,204.0,205.0
dissatisfied,Male,26.0,disloyal Customer,Eco,2041.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0
satisfied,Female,24.0,Loyal Customer,Eco,2036.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,61.0,Loyal Customer,Eco Plus,602.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,44.0,48.0
dissatisfied,Female,36.0,Loyal Customer,Eco,4221.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,149.0,123.0
satisfied,Female,52.0,Loyal Customer,Eco,381.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,95.0
satisfied,Female,24.0,Loyal Customer,Eco,1959.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,41.0,27.0
dissatisfied,Male,31.0,Loyal Customer,Eco,1981.0,1.0,1.0,5.0,1.0,4.0,3.0,3.0,4.0,30.0,24.0
dissatisfied,Female,56.0,disloyal Customer,Eco,1819.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0
dissatisfied,Male,14.0,Loyal Customer,Eco,1811.0,1.0,1.0,5.0,1.0,4.0,5.0,3.0,4.0,75.0,70.0
dissatisfied,Female,65.0,Loyal Customer,Eco,561.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0
dissatisfied,Male,15.0,Loyal Customer,Eco,3181.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,0.0,0.0
satisfied,Female,58.0,Loyal Customer,Eco,1192.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,24.0,39.0
dissatisfied,Male,10.0,Loyal Customer,Eco,3697.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,167.0,171.0
satisfied,Female,53.0,Loyal Customer,Eco,221.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,22.0,Loyal Customer,Eco,1761.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0
satisfied,Male,33.0,Loyal Customer,Eco Plus,3251.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,4.0,18.0,26.0
dissatisfied,Male,15.0,Loyal Customer,Eco,2384.0,3.0,3.0,1.0,3.0,5.0,4.0,5.0,4.0,0.0,0.0
dissatisfied,Female,61.0,Loyal Customer,Eco,476.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,30.0,21.0
satisfied,Male,39.0,Loyal Customer,Eco,2362.0,4.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0
dissatisfied,Male,66.0,Loyal Customer,Eco,1685.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0.0,2.0
dissatisfied,Male,52.0,Loyal Customer,Eco,1310.0,3.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,20.0,11.0
dissatisfied,Male,42.0,Loyal Customer,Eco,1727.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0
satisfied,Female,59.0,Loyal Customer,Eco,1852.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
satisfied,Female,58.0,Loyal Customer,Eco,638.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0
dissatisfied,Male,37.0,Loyal Customer,Eco,1697.0,3.0,3.0,2.0,3.0,5.0,1.0,3.0,1.0,67.0,53.0
dissatisfied,Male,54.0,Loyal Customer,Eco,2035.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,0.0,0.0
dissatisfied,Male,33.0,Loyal Customer,Eco,1233.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,63.0,Loyal Customer,Eco Plus,1188.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0
satisfied,Female,14.0,Loyal Customer,Eco,2592.0,3.0,3.0,3.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0
dissatisfied,Male,53.0,Loyal Customer,Eco,1733.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,57.0,87.0
satisfied,Female,29.0,Loyal Customer,Eco,1207.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,14.0,8.0
dissatisfied,Male,41.0,Loyal Customer,Eco,981.0,4.0,0.0,2.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,42.0,Loyal Customer,Eco,1531.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,0.0,0.0
dissatisfied,Male,8.0,Loyal Customer,Eco,2604.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
dissatisfied,Male,33.0,Loyal Customer,Eco Plus,1910.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,59.0,52.0
dissatisfied,Female,23.0,Loyal Customer,Eco,1582.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,4.0,100.0,122.0
dissatisfied,Male,38.0,Loyal Customer,Eco,1548.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,0.0,0.0
dissatisfied,Male,42.0,Loyal Customer,Eco,1894.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,0.0,0.0
dissatisfied,Male,34.0,Loyal Customer,Eco,2576.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,0.0,0.0
satisfied,Male,32.0,Loyal Customer,Eco,3146.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,0.0,0.0
satisfied,Female,46.0,Loyal Customer,Eco,1040.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,0.0,2.0
dissatisfied,Male,39.0,Loyal Customer,Business,222.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,4.0,0.0,0.0
satisfied,Female,59.0,Loyal Customer,Eco,489.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0
dissatisfied,Male,9.0,Loyal Customer,Eco Plus,1486.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,0.0,0.0
satisfied,Female,67.0,Loyal Customer,Eco,227.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,8.0
satisfied,Female,49.0,Loyal Customer,Eco,507.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,34.0,24.0
satisfied,Female,15.0,Loyal Customer,Eco,1244.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0
dissatisfied,Male,41.0,Loyal Customer,Eco,1873.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,0.0,0.0
dissatisfied,Male,59.0,Loyal Customer,Eco,1752.0,4.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,0.0,0.0
satisfied,Female,16.0,Loyal Customer,Eco,2053.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0
satisfied,Female,63.0,Loyal Customer,Business,663.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,8.0
dissatisfied,Female,44.0,Loyal Customer,Eco,699.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0
dissatisfied,Male,57.0,Loyal Customer,Eco,2154.0,2.0,2.0,1.0,2.0,4.0,2.0,5.0,4.0,0.0,8.0
dissatisfied,Male,67.0,Loyal Customer,Eco,1776.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,15.0,2.0
satisfied,Female,18.0,Loyal Customer,Eco,1673.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,0.0
dissatisfied,Male,15.0,Loyal Customer,Eco,1708.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,0.0,29.0
dissatisfied,Male,9.0,Loyal Customer,Eco,2082.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,47.0,28.0
dissatisfied,Male,30.0,Loyal Customer,Eco,2089.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0
dissatisfied,Female,27.0,Loyal Customer,Eco,1629.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0
satisfied,Female,38.0,Loyal Customer,Eco,1820.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,6.0,0.0
dissatisfied,Male,47.0,Loyal Customer,Business,448.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,0.0,19.0
dissatisfied,Male,20.0,Loyal Customer,Eco Plus,2121.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,0.0,0.0
dissatisfied,Female,54.0,Loyal Customer,Eco,307.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0
dissatisfied,Male,25.0,Loyal Customer,Eco,1560.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,0.0
satisfied,Female,36.0,Loyal Customer,Eco,1729.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,0.0
dissatisfied,Male,28.0,Loyal Customer,Eco,2510.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0
dissatisfied,Male,47.0,Loyal Customer,Eco,2604.0,3.0,3.0,1.0,3.0,5.0,2.0,5.0,4.0,0.0,12.0
satisfied,Male,33.0,Loyal Customer,Eco,1681.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0
dissatisfied,Male,63.0,Loyal Customer,Eco,2988.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,0.0,0.0
dissatisfied,Male,7.0,Loyal Customer,Eco,1810.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,0.0,86.0
dissatisfied,Male,17.0,Loyal Customer,Eco,1437.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,0.0,0.0
satisfied,Female,49.0,Loyal Customer,Eco,1621.0,1.0,1.0,4.0,3.0,5.0,3.0,4.0,5.0,0.0,24.0
satisfied,Male,28.0,Loyal Customer,Business,2138.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,5.0,0.0,0.0
dissatisfied,Male,10.0,Loyal Customer,Eco,2170.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,4.0,0.0,0.0
dissatisfied,Female,59.0,Loyal Customer,Eco,1091.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,12.0,3.0
satisfied,Female,57.0,Loyal Customer,Eco,369.0,4.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,0.0,0.0
satisfied,Female,34.0,Loyal Customer,Eco,3917.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,24.0,Loyal Customer,Eco,1886.0,3.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,2.0,8.0
dissatisfied,Male,41.0,Loyal Customer,Eco,1920.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,0.0,0.0
dissatisfied,Female,8.0,Loyal Customer,Eco,2428.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,5.0
satisfied,Male,19.0,Loyal Customer,Eco,2515.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,10.0,0.0
satisfied,Female,51.0,Loyal Customer,Eco,462.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,0.0,0.0
dissatisfied,Male,60.0,Loyal Customer,Eco,2548.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,5.0,0.0,0.0
satisfied,Female,23.0,Loyal Customer,Eco,1235.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0
satisfied,Male,43.0,disloyal Customer,Eco,2060.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,20.0,Loyal Customer,Eco,1075.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0
dissatisfied,Male,65.0,Loyal Customer,Eco,2014.0,1.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,0.0,0.0
satisfied,Male,69.0,Loyal Customer,Business,755.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,7.0,0.0
dissatisfied,Male,67.0,Loyal Customer,Eco,1699.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,5.0,0.0,0.0
dissatisfied,Male,60.0,Loyal Customer,Eco,2252.0,1.0,1.0,2.0,1.0,5.0,2.0,5.0,4.0,0.0,0.0
satisfied,Female,17.0,Loyal Customer,Eco,2159.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,67.0,Loyal Customer,Eco,1628.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0
dissatisfied,Male,38.0,Loyal Customer,Eco,2043.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,5.0,37.0,25.0
dissatisfied,Male,42.0,Loyal Customer,Eco,1332.0,1.0,1.0,5.0,1.0,2.0,5.0,3.0,3.0,0.0,5.0
satisfied,Female,39.0,Loyal Customer,Eco,2258.0,5.0,5.0,2.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0
satisfied,Female,11.0,Loyal Customer,Eco,2224.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,4.0
dissatisfied,Male,41.0,Loyal Customer,Eco,1991.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0
dissatisfied,Male,39.0,Loyal Customer,Eco,1548.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,0.0,0.0
satisfied,Female,61.0,Loyal Customer,Eco,800.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Female,64.0,Loyal Customer,Eco,1862.0,4.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0,14.0,44.0
satisfied,Female,67.0,Loyal Customer,Eco Plus,499.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0
satisfied,Female,49.0,Loyal Customer,Eco,324.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0
satisfied,Male,64.0,Loyal Customer,Eco,1766.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,0.0,0.0
dissatisfied,Male,13.0,Loyal Customer,Eco,1432.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0
