id,published,subject,level,price,subscribers,reviews,lectures,duration
154,2016-06-28,Graphic Design,All Levels,13,107,16,82,8
155,2015-05-15,Business Finance,All Levels,3,49,10,42,2
156,2016-07-12,Web Development,All Levels,9.6,4720,1017,126,7.5
157,2015-10-12,Musical Instruments,All Levels,2.6,119,12,16,1.5
158,2015-08-11,Web Development,All Levels,8.7,22213,142,16,1
159,2014-09-22,Business Finance,All Levels,1.7,27,2,10,1
160,2015-11-07,Musical Instruments,Beginner Level,1.7,69,1,53,3
161,2015-06-08,Graphic Design,All Levels,1.7,518,2,17,1
162,2015-06-11,Musical Instruments,Beginner Level,1.7,4,0,7,1
163,2016-07-25,Musical Instruments,All Levels,4.3,450,15,7,1.5
164,2015-11-11,Graphic Design,Beginner Level,8.7,1338,38,35,3
165,2014-03-27,Business Finance,Beginner Level,17.4,5572,123,33,5.5
166,2016-12-29,Business Finance,All Levels,13,133,3,158,17.5
167,2015-04-30,Graphic Design,All Levels,14.3,1479,49,82,6.5
168,2014-12-29,Business Finance,All Levels,1.7,2736,3,8,1.5
169,2015-02-18,Business Finance,Intermediate Level,3.5,92,15,19,1.5
170,2014-05-28,Musical Instruments,All Levels,1.7,75,2,27,0.733333333333333
171,2015-01-01,Musical Instruments,All Levels,4.3,232,11,97,7
172,2015-08-24,Business Finance,Beginner Level,14.8,1942,5,24,1.5
173,2015-07-14,Graphic Design,Intermediate Level,1.7,228,11,21,4
174,2016-10-27,Musical Instruments,All Levels,3.5,28,2,11,1.5
175,2015-07-30,Web Development,All Levels,6.5,7380,43,59,2.5
176,2015-11-23,Business Finance,All Levels,17.4,2092,77,52,3.5
177,2016-06-30,Web Development,All Levels,4.3,2577,529,64,4.5
178,2015-02-13,Business Finance,All Levels,3,42,2,13,1.5
179,2016-08-30,Web Development,All Levels,8.7,1838,169,31,3
180,2015-05-13,Web Development,Beginner Level,6.5,14254,27,20,1.5
181,2014-12-17,Business Finance,All Levels,2.6,274,1,21,3.5
182,2016-08-04,Web Development,Beginner Level,4.3,4892,49,32,2
183,2016-02-24,Web Development,All Levels,17,12021,660,41,4
184,2014-03-11,Business Finance,All Levels,4.3,495,47,21,4
185,2014-12-19,Web Development,All Levels,4.3,8755,931,133,15.5
186,2016-12-05,Business Finance,All Levels,2.2,21,3,8,1.5
187,2016-01-29,Graphic Design,Intermediate Level,2.6,24,5,122,12
188,2015-02-09,Graphic Design,All Levels,2.6,4353,23,57,3.5
189,2016-06-20,Graphic Design,Beginner Level,13,2252,240,111,21
190,2015-10-14,Web Development,All Levels,17,2875,20,36,4.5
191,2015-07-08,Graphic Design,All Levels,4.3,1132,1,29,2
192,2014-10-21,Graphic Design,All Levels,3.9,5072,38,44,5
193,2015-08-31,Graphic Design,All Levels,0,381,24,7,0.6
194,2014-07-04,Business Finance,All Levels,1.7,2281,12,24,5.5
195,2016-01-27,Business Finance,All Levels,8.3,1730,18,53,2
196,2016-10-09,Business Finance,Beginner Level,3.9,2981,23,17,1
197,2014-06-30,Business Finance,All Levels,3,142,4,18,1
198,2015-04-16,Business Finance,All Levels,1.7,3177,8,8,1
199,2014-04-01,Musical Instruments,Beginner Level,1.7,736,6,46,5
200,2014-11-19,Business Finance,Expert Level,1.7,507,5,15,1
201,2015-10-12,Musical Instruments,Beginner Level,4.8,1203,26,10,1
202,2016-04-13,Musical Instruments,Intermediate Level,3.5,95,8,11,2.5
203,2016-08-26,Business Finance,All Levels,3.9,39,6,37,3
204,2015-09-15,Business Finance,All Levels,1.7,393,5,34,5
205,2015-10-28,Web Development,Beginner Level,2.6,1772,13,48,2.5
206,2014-01-27,Musical Instruments,All Levels,4.3,92,3,71,1.5
207,2015-12-03,Musical Instruments,Beginner Level,2.2,3937,54,20,1.5
208,2014-04-14,Business Finance,All Levels,2.6,831,1,13,2
209,2014-05-09,Musical Instruments,All Levels,4.3,7,0,17,3
210,2014-09-20,Business Finance,All Levels,1.7,232,7,17,1
211,2016-10-04,Musical Instruments,All Levels,2.2,1200,35,10,0.6
212,2016-02-22,Business Finance,Beginner Level,1.7,112,18,33,2
213,2016-03-22,Graphic Design,Beginner Level,1.7,23,4,83,7.5
214,2016-10-19,Musical Instruments,Beginner Level,8.3,2558,19,16,3
215,2016-07-21,Graphic Design,All Levels,1.7,421,10,18,1
216,2016-10-09,Business Finance,All Levels,17.4,152,7,30,3
217,2016-04-29,Graphic Design,Beginner Level,6.1,1202,68,36,3.5
218,2016-07-04,Web Development,All Levels,8.3,8594,37,18,2
219,2015-11-02,Business Finance,Beginner Level,1.7,246,8,24,1.5
220,2014-08-23,Musical Instruments,Beginner Level,0,4452,263,14,1
221,2016-05-09,Business Finance,Intermediate Level,12.6,1433,169,15,1
222,2015-07-19,Business Finance,All Levels,6.5,1750,71,29,3
223,2014-04-24,Business Finance,All Levels,4.3,1532,7,24,6
224,2016-12-20,Business Finance,Beginner Level,10.9,1091,4,29,3
225,2014-04-16,Graphic Design,Intermediate Level,4.3,229,23,26,7.5
226,2015-03-06,Business Finance,All Levels,0,8985,584,12,1
227,2015-10-05,Business Finance,Beginner Level,12.2,813,94,52,5
228,2016-05-17,Business Finance,Beginner Level,0,4607,181,11,0.533333333333333
229,2014-01-16,Musical Instruments,Beginner Level,4.3,78,6,45,7
230,2015-12-21,Musical Instruments,Beginner Level,0,4529,193,7,0.6
231,2016-05-23,Business Finance,Beginner Level,1.7,18,2,11,1
232,2015-10-22,Graphic Design,Beginner Level,1.7,11,2,15,3
233,2016-08-17,Business Finance,Beginner Level,3,93,13,49,5
234,2016-01-18,Graphic Design,Beginner Level,6.5,213,10,16,1.5
235,2016-09-26,Graphic Design,All Levels,3.5,1029,52,26,4
236,2015-03-04,Musical Instruments,All Levels,4.3,231,7,110,9
237,2016-12-16,Business Finance,All Levels,7.8,18,7,97,7
238,2014-03-08,Musical Instruments,Beginner Level,1.7,922,57,90,10.5
239,2015-06-01,Business Finance,All Levels,1.7,1850,40,20,1
240,2014-03-13,Business Finance,All Levels,4.3,394,25,18,3
241,2016-07-04,Business Finance,All Levels,1.7,38,6,16,1
242,2016-03-03,Musical Instruments,Beginner Level,15.7,152,21,91,4.5
243,2016-06-10,Musical Instruments,All Levels,0,2566,39,23,2
244,2014-03-09,Musical Instruments,Beginner Level,3,73,2,16,2
245,2015-11-19,Business Finance,Intermediate Level,1.7,11,2,10,0.5
246,2015-04-01,Business Finance,Expert Level,1.7,28,3,14,1
247,2014-10-30,Musical Instruments,All Levels,4.3,103,33,309,38
248,2015-02-12,Business Finance,All Levels,3.5,294,5,25,2
249,2015-02-25,Business Finance,All Levels,1.7,59,11,7,1.5
250,2016-11-24,Web Development,Beginner Level,5.2,3119,453,207,33
251,2016-09-01,Web Development,All Levels,10,627,125,7,1
252,2015-07-06,Musical Instruments,Beginner Level,4.3,2154,40,16,1
253,2015-04-22,Web Development,All Levels,4.3,10150,997,90,16
254,2016-04-01,Business Finance,All Levels,1.7,1189,13,41,4
255,2014-05-16,Musical Instruments,All Levels,1.7,8,1,26,3.5
256,2016-12-22,Graphic Design,All Levels,0,2665,20,8,0.566666666666667
257,2016-01-06,Graphic Design,Beginner Level,3.5,290,49,88,7.5
258,2015-11-06,Business Finance,All Levels,1.7,21,1,28,3
259,2014-03-12,Business Finance,All Levels,4.3,545,48,42,7.5
260,2014-10-24,Business Finance,All Levels,4.8,72,9,15,3.5
261,2016-05-11,Business Finance,Beginner Level,8.7,801,48,25,2.5
262,2015-07-20,Business Finance,All Levels,17.4,1882,51,129,11
263,2015-04-13,Web Development,All Levels,0,98867,6512,20,3
264,2015-03-10,Business Finance,Beginner Level,2.6,1440,0,21,1
265,2015-01-27,Business Finance,All Levels,1.7,283,13,35,2.5
266,2015-10-30,Graphic Design,All Levels,4.3,142,23,88,10.5
267,2016-03-04,Business Finance,All Levels,5.2,325,14,62,5
268,2015-04-16,Business Finance,All Levels,2.2,663,10,79,5.5
269,2015-01-08,Business Finance,All Levels,4.3,217,19,9,2
270,2016-10-22,Business Finance,All Levels,17.4,267,11,21,2
271,2016-12-14,Business Finance,All Levels,6.1,187,3,53,7
272,2016-07-21,Web Development,All Levels,3.5,8059,231,39,2
273,2014-06-08,Business Finance,All Levels,1.7,135,2,25,7.5
274,2016-08-14,Graphic Design,Beginner Level,0,5175,470,7,0.5
275,2015-08-10,Musical Instruments,All Levels,8.3,115,17,17,1.5
276,2016-10-28,Web Development,All Levels,17.4,1870,193,145,14.5
277,2014-05-16,Musical Instruments,All Levels,1.7,17,3,13,1
278,2015-11-01,Musical Instruments,Beginner Level,1.7,75,7,22,1.5
279,2014-07-22,Business Finance,Beginner Level,3.5,71,3,19,1.5
280,2015-01-04,Musical Instruments,Intermediate Level,17.4,1350,65,55,6.5
281,2016-10-17,Musical Instruments,Beginner Level,0,888,64,25,1.5
282,2016-07-28,Graphic Design,All Levels,2.2,445,4,14,0.533333333333333
283,2015-02-02,Web Development,Beginner Level,3.9,1783,16,15,0.6
284,2016-09-21,Business Finance,Beginner Level,0,1819,45,15,1.5
285,2015-09-23,Business Finance,All Levels,1.7,1509,0,9,0.716666666666667
286,2015-11-18,Graphic Design,Beginner Level,8.7,1373,5,63,2.5
287,2016-11-07,Musical Instruments,All Levels,8.3,2164,10,113,2
288,2016-04-13,Musical Instruments,Beginner Level,3.5,28,3,32,4.5
289,2016-12-29,Business Finance,Intermediate Level,17.4,90,12,35,2.5
290,2016-03-30,Business Finance,Beginner Level,17.4,1094,8,13,2
291,2016-03-15,Business Finance,All Levels,17.4,134,14,123,5.5
292,2016-02-15,Musical Instruments,Intermediate Level,3,74,6,13,1.5
293,2016-08-29,Business Finance,All Levels,0,1625,5,145,8.5
294,2014-01-30,Musical Instruments,All Levels,1.7,377,8,14,1.5
295,2016-01-07,Web Development,All Levels,4.3,2643,56,24,3.5
296,2015-03-19,Graphic Design,All Levels,3,485,9,21,2.5
297,2016-11-03,Musical Instruments,All Levels,4.3,701,4,62,1.5
298,2015-06-19,Business Finance,All Levels,17.4,3804,267,66,5
299,2015-10-19,Musical Instruments,Beginner Level,1.7,25,1,10,0.65
300,2016-07-15,Business Finance,All Levels,6.5,178,16,27,1.5
301,2016-03-24,Graphic Design,All Levels,3.5,135,33,14,1.5
302,2015-08-07,Graphic Design,Beginner Level,1.7,189,13,55,6
303,2015-10-27,Web Development,All Levels,17,24978,540,67,7
304,2015-04-20,Business Finance,Beginner Level,0,2075,69,11,0.733333333333333
305,2016-07-29,Musical Instruments,All Levels,3.9,80,5,24,4.5
306,2016-08-12,Web Development,All Levels,17.4,900,129,126,18.5
307,2014-12-29,Graphic Design,All Levels,1.7,9847,24,35,4
308,2014-04-04,Graphic Design,Beginner Level,1.7,274,10,49,3.5
309,2015-10-01,Graphic Design,All Levels,17.4,4297,337,110,7.5
310,2016-01-19,Business Finance,All Levels,4.3,13,2,98,0.516666666666667
311,2016-03-30,Business Finance,All Levels,17,225,41,33,5
312,2015-09-23,Graphic Design,Beginner Level,0,6429,654,31,2.5
313,2014-03-19,Business Finance,All Levels,1.7,225,1,5,1
314,2016-04-26,Graphic Design,All Levels,15.7,2863,11,27,2.5
315,2015-06-16,Business Finance,All Levels,4.3,80,10,27,5.5
316,2016-08-23,Web Development,All Levels,17.4,1849,21,83,3
317,2014-03-11,Business Finance,All Levels,4.3,485,24,20,3.5
318,2016-05-18,Musical Instruments,All Levels,3.5,236,0,18,1.5
319,2015-10-08,Graphic Design,Intermediate Level,3.9,36,5,20,1.5
320,2015-03-06,Business Finance,All Levels,4.8,683,16,58,4.5
321,2014-04-27,Musical Instruments,All Levels,17.4,8857,718,131,15.5
322,2014-01-24,Musical Instruments,All Levels,4.3,1167,66,44,3
323,2016-12-02,Web Development,Beginner Level,17.4,14842,131,17,1
324,2015-09-04,Business Finance,All Levels,1.7,2,0,12,1
325,2015-06-02,Graphic Design,All Levels,1.7,34,0,18,1
326,2015-01-09,Business Finance,All Levels,3.9,8797,449,80,6.5
327,2016-04-26,Graphic Design,Beginner Level,1.7,20,3,5,0.683333333333333
328,2016-10-24,Graphic Design,All Levels,1.7,319,11,35,2
329,2015-11-23,Musical Instruments,All Levels,0,1631,23,6,0.733333333333333
330,2015-08-07,Graphic Design,All Levels,8.7,317,15,76,6
331,2015-02-23,Web Development,Intermediate Level,4.3,3011,57,10,1
332,2016-09-20,Musical Instruments,All Levels,3.5,21,3,27,2
333,2016-04-11,Musical Instruments,Beginner Level,5.2,293,30,162,18.5
334,2015-02-21,Business Finance,All Levels,1.7,1574,24,46,2
335,2015-04-16,Musical Instruments,All Levels,4.3,106,7,89,6
336,2016-06-09,Web Development,Beginner Level,10.4,4028,674,93,9
337,2015-12-09,Graphic Design,Beginner Level,17.4,98,3,33,2
338,2014-12-24,Business Finance,Intermediate Level,3.5,217,7,27,1.5
339,2014-03-03,Business Finance,All Levels,12.6,789,68,95,14
340,2015-06-16,Business Finance,All Levels,17.4,2146,212,49,4.5
341,2016-01-28,Business Finance,All Levels,1.7,2060,17,30,4.5
342,2015-11-26,Web Development,All Levels,17.4,24861,423,281,22.5
343,2016-02-13,Business Finance,All Levels,3,2638,140,12,1
344,2015-02-02,Graphic Design,All Levels,2.6,934,143,41,12
345,2014-11-24,Business Finance,All Levels,17.4,343,84,37,5.5
346,2015-06-03,Web Development,All Levels,17.4,6497,901,221,18
347,2016-02-25,Business Finance,All Levels,13,20,5,29,2
348,2014-12-18,Musical Instruments,All Levels,17.4,582,49,51,5.5
349,2016-05-04,Musical Instruments,Beginner Level,5.7,861,19,52,4.5
350,2014-04-06,Business Finance,All Levels,3.5,70,3,15,2
351,2016-07-23,Web Development,All Levels,13,1050,223,64,6.5
352,2015-08-18,Musical Instruments,All Levels,1.7,1305,25,68,6.5
353,2015-11-11,Graphic Design,All Levels,11.7,220,13,33,2.5
354,2015-10-26,Business Finance,Beginner Level,10.9,285,6,18,1.5
355,2016-06-20,Web Development,All Levels,17.4,6420,134,188,22.5
356,2014-10-29,Musical Instruments,Beginner Level,4.3,1720,9,26,2.5
357,2014-12-18,Business Finance,Intermediate Level,4.3,312,24,37,5.5
358,2015-04-15,Musical Instruments,Intermediate Level,4.3,164,0,20,2
359,2015-02-07,Musical Instruments,All Levels,8.3,1064,11,110,2.5
360,2015-05-04,Musical Instruments,Beginner Level,3,19,2,12,1.5
361,2014-11-10,Business Finance,Beginner Level,3.9,2490,95,13,3
362,2015-03-03,Graphic Design,All Levels,1.7,238,9,22,2.5
363,2015-06-19,Business Finance,All Levels,1.7,2769,54,32,1.5
364,2016-06-06,Business Finance,Beginner Level,3.5,612,46,72,3
365,2014-04-29,Business Finance,Beginner Level,0,12217,351,17,1
366,2015-07-06,Business Finance,All Levels,4.3,99,12,26,3
367,2015-08-04,Web Development,All Levels,13,13882,63,47,3
368,2015-05-04,Graphic Design,All Levels,3,494,6,16,1
369,2016-02-13,Musical Instruments,All Levels,3.9,98,5,14,2
370,2016-09-27,Web Development,All Levels,13,1966,359,65,5
371,2015-11-24,Graphic Design,Beginner Level,1.7,1,0,13,3.5
372,2014-03-31,Business Finance,Beginner Level,0,19339,794,9,2
373,2015-04-28,Musical Instruments,All Levels,17.4,21701,1340,136,9.5
374,2014-11-01,Business Finance,Intermediate Level,1.7,323,30,11,0.616666666666667
375,2016-01-09,Web Development,Beginner Level,8.7,7213,50,38,3
376,2016-08-19,Web Development,All Levels,1.7,1004,43,40,3.5
377,2016-06-19,Web Development,All Levels,1.7,2660,276,16,1.5
378,2016-10-03,Business Finance,All Levels,17.4,837,9,19,1
379,2015-01-12,Graphic Design,Intermediate Level,1.7,6,0,5,0.55
380,2014-04-15,Graphic Design,Beginner Level,1.7,3,0,7,1
381,2016-08-18,Musical Instruments,Intermediate Level,3.5,59,1,28,4
382,2015-06-08,Graphic Design,All Levels,1.7,33,3,19,3
383,2014-10-08,Graphic Design,All Levels,4.3,52,2,19,2.5
384,2016-11-30,Web Development,Intermediate Level,0,13210,978,8,0.55
385,2014-09-15,Business Finance,All Levels,1.7,131,3,28,1.5
386,2015-08-21,Business Finance,Beginner Level,3,2623,158,20,1
387,2014-03-17,Musical Instruments,Intermediate Level,4.3,376,9,86,5.5
388,2014-08-02,Business Finance,All Levels,1.7,85,5,17,1.5
389,2014-01-05,Business Finance,Beginner Level,4.3,1334,86,54,6
390,2016-02-01,Musical Instruments,Beginner Level,1.7,26,2,26,1
391,2015-03-03,Musical Instruments,All Levels,0,5543,107,29,4
392,2014-11-19,Business Finance,Beginner Level,3,420,2,14,1
393,2014-07-25,Web Development,All Levels,5.2,10606,570,88,23
394,2015-02-05,Web Development,All Levels,3.9,1905,228,57,6
395,2016-12-21,Graphic Design,All Levels,4.3,1,0,8,1
396,2014-07-24,Musical Instruments,All Levels,17,200,11,19,2
397,2016-08-11,Business Finance,Beginner Level,4.3,80,18,63,7.5
398,2016-07-28,Musical Instruments,All Levels,3.9,1329,52,35,1.5
399,2014-12-19,Graphic Design,All Levels,1.7,6612,44,20,1
